,player,year,mp,fga,fg_perc,threepoint_att,threepoint_perc,twopoint_att,twopoint_perc,efg_perc,ft_perc,pts,class
1932,Dennis Schröder,2019-20,30.8,14.8,0.469,5.0,0.385,9.8,0.513,0.534,0.839,18.9,elite
1935,Collin Sexton,2019-20,33.0,16.7,0.472,3.9,0.38,12.8,0.501,0.517,0.846,20.8,elite
1939,Pascal Siakam,2019-20,35.2,18.4,0.453,6.1,0.359,12.3,0.499,0.512,0.792,22.9,elite
1953,Jayson Tatum,2019-20,34.3,18.6,0.45,7.1,0.403,11.5,0.48,0.527,0.812,23.4,elite
1965,Karl-Anthony Towns,2019-20,33.9,17.8,0.508,7.9,0.412,9.9,0.586,0.6,0.796,26.5,elite
1979,Nikola Vučević,2019-20,32.2,16.7,0.477,4.7,0.339,12.0,0.531,0.525,0.784,19.6,elite
1983,Kemba Walker,2019-20,31.1,15.9,0.425,8.4,0.381,7.4,0.476,0.526,0.864,20.4,elite
1988,T.J. Warren,2019-20,32.9,14.9,0.536,3.4,0.403,11.5,0.575,0.581,0.819,19.8,elite
1994,Russell Westbrook,2019-20,35.9,22.5,0.472,3.7,0.258,18.7,0.514,0.493,0.763,27.2,elite
1998,Andrew Wiggins,2019-20,34.4,18.1,0.447,6.2,0.332,11.9,0.506,0.504,0.709,21.8,elite
2013,Trae Young,2019-20,35.3,20.8,0.437,9.5,0.361,11.4,0.501,0.519,0.86,29.6,elite
2020,Bam Adebayo,2020-21,33.5,12.5,0.57,0.1,0.25,12.4,0.573,0.571,0.799,18.7,elite
2028,Giannis Antetokounmpo,2020-21,33.0,18.0,0.569,3.6,0.303,14.4,0.636,0.6,0.685,28.1,elite
2047,RJ Barrett,2020-21,34.9,14.7,0.441,4.3,0.401,10.4,0.457,0.499,0.746,17.6,elite
2054,Bradley Beal,2020-21,35.8,23.0,0.485,6.2,0.349,16.8,0.535,0.532,0.889,31.3,elite
2055,Malik Beasley,2020-21,32.8,16.2,0.44,8.7,0.399,7.5,0.487,0.547,0.85,19.6,elite
2074,Devin Booker,2020-21,33.9,19.2,0.484,5.5,0.34,13.7,0.543,0.533,0.867,25.6,elite
2085,Malcolm Brogdon,2020-21,34.5,17.5,0.453,6.7,0.388,10.8,0.493,0.527,0.864,21.2,elite
2090,Jaylen Brown,2020-21,34.5,19.2,0.484,7.1,0.397,12.1,0.536,0.558,0.764,24.7,elite
2099,Jimmy Butler,2020-21,33.6,14.2,0.497,2.0,0.245,12.2,0.538,0.514,0.863,21.5,elite
2130,Stephen Curry,2020-21,34.2,21.7,0.482,12.7,0.421,9.0,0.569,0.605,0.916,32.0,elite
2132,Anthony Davis,2020-21,32.3,17.0,0.491,2.8,0.26,14.3,0.536,0.512,0.738,21.8,elite
2138,DeMar DeRozan,2020-21,33.7,15.1,0.495,1.2,0.257,13.9,0.515,0.505,0.88,21.6,elite
2144,Luka Dončić,2020-21,34.3,20.5,0.479,8.3,0.35,12.2,0.567,0.55,0.73,27.7,elite
2154,Kevin Durant,2020-21,33.1,17.2,0.537,5.4,0.45,11.8,0.577,0.608,0.882,26.9,elite
2155,Anthony Edwards,2020-21,32.1,16.8,0.417,7.2,0.329,9.6,0.483,0.488,0.776,19.3,elite
2159,Joel Embiid,2020-21,31.1,17.6,0.513,3.0,0.377,14.6,0.541,0.545,0.859,28.5,elite
2175,De'Aaron Fox,2020-21,35.1,19.1,0.477,5.5,0.322,13.6,0.539,0.523,0.719,25.2,elite
2184,Darius Garland,2020-21,33.1,14.9,0.451,4.9,0.395,9.9,0.479,0.517,0.848,17.4,elite
2187,Paul George,2020-21,33.7,17.6,0.467,7.7,0.411,9.9,0.51,0.557,0.868,23.3,elite
2190,Shai Gilgeous-Alexander,2020-21,33.7,16.1,0.508,4.9,0.418,11.3,0.547,0.571,0.808,23.7,elite
2198,Jerami Grant,2020-21,33.9,17.3,0.429,6.1,0.35,11.2,0.473,0.491,0.845,22.3,elite
2213,James Harden,2020-21,36.6,16.7,0.466,7.6,0.362,9.1,0.553,0.548,0.861,24.6,elite
2220,Tobias Harris,2020-21,32.5,14.9,0.512,3.4,0.394,11.5,0.546,0.556,0.892,19.5,elite
2226,Gordon Hayward,2020-21,34.0,15.0,0.473,4.7,0.415,10.3,0.499,0.537,0.843,19.6,elite
2254,Brandon Ingram,2020-21,34.3,18.0,0.466,6.1,0.381,11.9,0.51,0.531,0.878,23.8,elite
2255,Kyrie Irving,2020-21,34.9,20.1,0.506,7.0,0.402,13.1,0.561,0.576,0.922,26.9,elite
2263,LeBron James,2020-21,33.4,18.3,0.513,6.3,0.365,12.0,0.591,0.576,0.698,25.0,elite
2274,Nikola Jokić,2020-21,34.6,18.0,0.566,3.3,0.388,14.7,0.606,0.602,0.868,26.4,elite
2297,Zach LaVine,2020-21,35.1,19.4,0.507,8.2,0.419,11.1,0.571,0.596,0.849,27.4,elite
2304,Kawhi Leonard,2020-21,34.1,17.5,0.512,4.9,0.398,12.6,0.557,0.568,0.885,24.8,elite
2306,Caris LeVert,2020-21,31.6,17.3,0.441,5.5,0.326,11.8,0.495,0.493,0.811,20.2,elite
2308,Damian Lillard,2020-21,35.8,19.9,0.451,10.5,0.391,9.4,0.519,0.554,0.928,28.8,elite
2338,CJ McCollum,2020-21,34.0,18.8,0.458,8.9,0.402,9.9,0.509,0.554,0.812,23.1,elite
