,player,year,drb,stl,blk,class
2327,Brandon Ingram,2020-21,4.3,0.7,0.6,good
2328,Kyrie Irving,2020-21,3.8,1.4,0.7,good
2332,Josh Jackson,2020-21,3.2,0.9,0.8,good
2343,James Johnson,2020-21,2.8,0.8,0.8,good
2344,Keldon Johnson,2020-21,4.6,0.6,0.3,good
2359,Maxi Kleber,2020-21,4.3,0.5,0.7,good
2366,Kyle Kuzma,2020-21,4.5,0.5,0.6,good
2368,Jeremy Lamb,2020-21,2.9,0.9,0.6,good
2370,Zach LaVine,2020-21,4.4,0.8,0.5,good
2377,Kawhi Leonard,2020-21,5.4,1.6,0.4,good
2379,Caris LeVert,2020-21,3.9,1.4,0.6,good
2387,Kevin Love,2020-21,6.8,0.6,0.1,good
2388,Kyle Lowry,2020-21,4.6,1.0,0.3,good
2398,Lauri Markkanen,2020-21,4.6,0.5,0.3,good
2430,Paul Millsap,2020-21,3.3,0.9,0.6,good
2442,Dejounte Murray,2020-21,6.2,1.5,0.1,good
2447,Larry Nance Jr.,2020-21,5.2,1.7,0.5,good
2458,David Nwaba,2020-21,2.6,1.0,0.7,good
2460,Royce O'Neale,2020-21,5.6,0.8,0.5,good
2468,Victor Oladipo,2020-21,4.5,1.4,0.4,good
2470,Kelly Olynyk,2020-21,5.7,1.1,0.6,good
2474,Kelly Oubre Jr.,2020-21,4.5,1.0,0.8,good
2479,Justin Patton,2020-21,2.7,0.9,1.1,good
2496,Bobby Portis,2020-21,5.2,0.8,0.4,good
2500,Taurean Prince,2020-21,3.0,0.7,0.6,good
2521,Isaiah Roby,2020-21,4.1,0.9,0.6,good
2539,Pascal Siakam,2020-21,5.5,1.1,0.7,good
2541,Ben Simmons,2020-21,5.6,1.6,0.6,good
2556,Jae'Sean Tate,2020-21,3.5,1.2,0.5,good
2557,Jayson Tatum,2020-21,6.6,1.2,0.5,good
2566,Tristan Thompson,2020-21,5.0,0.4,0.6,good
2568,Matisse Thybulle,2020-21,1.4,1.6,1.1,good
2570,Xavier Tillman Sr.,2020-21,3.1,0.7,0.6,good
2573,Juan Toscano-Anderson,2020-21,3.9,0.8,0.5,good
2582,Jarred Vanderbilt,2020-21,3.9,1.0,0.7,good
2583,Fred VanVleet,2020-21,3.6,1.7,0.7,good
2593,John Wall,2020-21,2.8,1.1,0.8,good
2603,Derrick White,2020-21,2.6,0.7,1.0,good
2610,Patrick Williams,2020-21,3.7,0.9,0.6,good
2612,Zion Williamson,2020-21,4.5,0.9,0.6,good
2615,Justise Winslow,2020-21,3.8,0.6,0.5,good
2621,Thaddeus Young,2020-21,3.8,1.1,0.6,good
2623,Cody Zeller,2020-21,4.4,0.6,0.4,good
8,Tony Allen,2016-17,3.2,1.6,0.4,average
27,Harrison Barnes,2016-17,3.8,0.8,0.2,average
35,Bradley Beal,2016-17,2.4,1.1,0.3,average
52,Devin Booker,2016-17,2.6,0.9,0.3,average
56,Malcolm Brogdon,2016-17,2.2,1.1,0.2,average
68,Kentavious Caldwell-Pope,2016-17,2.5,1.2,0.2,average
71,DeMarre Carroll,2016-17,2.9,1.1,0.4,average
72,Vince Carter,2016-17,2.6,0.8,0.5,average
73,Michael Carter-Williams,2016-17,2.9,0.8,0.5,average
82,Jordan Clarkson,2016-17,2.4,1.1,0.1,average
84,Darren Collison,2016-17,1.9,1.0,0.1,average
86,Mike Conley,2016-17,3.0,1.3,0.3,average
96,Seth Curry,2016-17,2.2,1.1,0.1,average
97,Stephen Curry,2016-17,3.7,1.8,0.2,average
107,DeMar DeRozan,2016-17,4.3,1.1,0.2,average
113,Goran Dragić,2016-17,3.0,1.2,0.2,average
115,Jared Dudley,2016-17,3.0,0.7,0.3,average
117,Kris Dunn,2016-17,1.8,1.0,0.5,average
122,Monta Ellis,2016-17,2.5,1.1,0.4,average
124,James Ennis III,2016-17,3.0,0.7,0.3,average
126,Tyreke Evans,2016-17,3.1,0.9,0.2,average
133,Raymond Felton,2016-17,2.3,0.8,0.3,average
134,Yogi Ferrell,2016-17,2.0,0.9,0.2,average
137,Evan Fournier,2016-17,2.4,1.0,0.1,average
139,Tim Frazier,2016-17,2.1,0.9,0.1,average
142,Danilo Gallinari,2016-17,4.5,0.6,0.2,average
154,Manu Ginóbili,2016-17,1.9,1.2,0.2,average
177,Gary Harris,2016-17,2.3,1.2,0.1,average
193,Nenê,2016-17,2.8,0.8,0.6,average
194,George Hill,2016-17,2.9,1.0,0.2,average
196,Solomon Hill,2016-17,3.2,0.9,0.4,average
199,Justin Holiday,2016-17,2.4,0.8,0.4,average
211,Andre Iguodala,2016-17,3.3,1.0,0.5,average
213,Joe Ingles,2016-17,2.9,1.2,0.1,average
215,Kyrie Irving,2016-17,2.5,1.2,0.3,average
224,Brandon Jennings,2016-17,2.1,0.9,0.0,average
254,Zach LaVine,2016-17,3.0,0.9,0.2,average
255,Ty Lawson,2016-17,2.0,1.1,0.1,average
257,Courtney Lee,2016-17,2.7,1.1,0.3,average
263,Caris LeVert,2016-17,2.9,0.9,0.1,average
265,Damian Lillard,2016-17,4.3,0.9,0.3,average
266,Jeremy Lin,2016-17,3.4,1.2,0.4,average
273,Kyle Lowry,2016-17,4.0,1.5,0.3,average
283,Wesley Matthews,2016-17,3.3,1.1,0.2,average
284,Luc Mbah a Moute,2016-17,1.6,1.0,0.4,average
287,CJ McCollum,2016-17,2.9,0.9,0.5,average
288,T.J. McConnell,2016-17,2.6,1.7,0.1,average
297,Jodie Meeks,2016-17,2.0,0.9,0.1,average
300,Khris Middleton,2016-17,3.9,1.4,0.2,average
309,Marcus Morris,2016-17,3.7,0.7,0.3,average
338,Victor Oladipo,2016-17,3.8,1.2,0.3,average
339,Kelly Olynyk,2016-17,3.8,0.6,0.4,average
349,Patrick Patterson,2016-17,3.6,0.6,0.4,average
350,Chris Paul,2016-17,4.3,2.0,0.1,average
363,Dwight Powell,2016-17,2.8,0.8,0.5,average
382,Rajon Rondo,2016-17,4.1,1.4,0.2,average
384,Terrence Ross,2016-17,2.4,1.1,0.4,average
386,Ricky Rubio,2016-17,3.2,1.7,0.1,average
389,D'Angelo Russell,2016-17,3.0,1.4,0.3,average
394,Dennis Schröder,2016-17,2.6,0.9,0.2,average
401,Iman Shumpert,2016-17,2.4,0.8,0.4,average
405,Marcus Smart,2016-17,2.9,1.6,0.4,average
406,Ish Smith,2016-17,2.6,0.8,0.4,average
407,J.R. Smith,2016-17,2.3,1.0,0.3,average
420,Jeff Teague,2016-17,3.6,1.2,0.4,average
422,Garrett Temple,2016-17,2.3,1.3,0.4,average
424,Isaiah Thomas,2016-17,2.1,0.9,0.2,average
427,Klay Thompson,2016-17,3.0,0.8,0.5,average
434,P.J. Tucker,2016-17,4.4,1.4,0.2,average
435,Evan Turner,2016-17,3.2,0.8,0.4,average
450,Dion Waiters,2016-17,2.9,0.9,0.4,average
451,Kemba Walker,2016-17,3.3,1.1,0.3,average
461,Andrew Wiggins,2016-17,2.8,1.0,0.4,average
466,Lou Williams,2016-17,2.2,1.0,0.2,average
469,Troy Williams,2016-17,1.8,0.9,0.3,average
471,Justise Winslow,2016-17,3.9,1.4,0.3,average
476,Delon Wright,2016-17,1.2,1.0,0.4,average
505,Trevor Ariza,2017-18,3.9,1.5,0.2,average
522,Bradley Beal,2017-18,3.7,1.2,0.4,average
527,DeAndre' Bembry,2017-18,2.5,0.8,0.5,average
530,Patrick Beverley,2017-18,2.6,1.7,0.5,average
534,Nemanja Bjelica,2017-18,3.3,0.7,0.2,average
539,Bogdan Bogdanović,2017-18,2.5,0.9,0.2,average
543,Devin Booker,2017-18,4.0,0.9,0.3,average
546,Avery Bradley,2017-18,2.0,1.1,0.2,average
548,Corey Brewer,2017-18,1.5,1.1,0.2,average
549,Malcolm Brogdon,2017-18,2.8,0.9,0.3,average
551,Dillon Brooks,2017-18,2.5,0.9,0.2,average
552,MarShon Brooks,2017-18,1.9,1.6,0.4,average
568,Kentavious Caldwell-Pope,2017-18,4.4,1.4,0.2,average
578,Mario Chalmers,2017-18,2.2,1.2,0.2,average
589,Darren Collison,2017-18,2.0,1.3,0.2,average
591,Mike Conley,2017-18,2.3,1.0,0.3,average
603,Jae Crowder,2017-18,2.7,0.8,0.3,average
605,Stephen Curry,2017-18,4.4,1.6,0.2,average
615,DeMar DeRozan,2017-18,3.2,1.1,0.3,average
618,Spencer Dinwiddie,2017-18,2.7,0.9,0.3,average
623,Goran Dragić,2017-18,3.4,0.8,0.2,average
637,Tyreke Evans,2017-18,4.3,1.1,0.3,average
645,Yogi Ferrell,2017-18,2.7,0.8,0.1,average
648,Evan Fournier,2017-18,2.8,0.8,0.3,average
649,De'Aaron Fox,2017-18,2.3,1.0,0.3,average
653,Markelle Fultz,2017-18,2.3,0.9,0.3,average
670,Jerian Grant,2017-18,1.9,0.9,0.1,average
679,Tim Hardaway Jr.,2017-18,3.4,1.1,0.2,average
681,Maurice Harkless,2017-18,2.0,0.8,0.7,average
684,Gary Harris,2017-18,2.1,1.8,0.2,average
687,Aaron Harrison,2017-18,2.2,1.0,0.2,average
689,Shaquille Harrison,2017-18,2.3,1.1,0.3,average
690,Josh Hart,2017-18,3.5,0.7,0.3,average
695,Myke Henry,2017-18,1.4,1.6,0.3,average
699,Mario Hezonja,2017-18,3.2,1.1,0.4,average
701,Buddy Hield,2017-18,3.2,1.1,0.3,average
703,George Hill,2017-18,2.1,0.9,0.4,average
707,Justin Holiday,2017-18,3.6,1.1,0.4,average
711,Rodney Hood,2017-18,2.4,0.8,0.2,average
722,Joe Ingles,2017-18,3.9,1.1,0.2,average
725,Kyrie Irving,2017-18,3.2,1.1,0.3,average
731,Josh Jackson,2017-18,3.3,1.0,0.5,average
746,Stanley Johnson,2017-18,3.2,1.4,0.2,average
747,Tyler Johnson,2017-18,3.0,0.8,0.5,average
753,Tyus Jones,2017-18,1.4,1.2,0.1,average
755,Cory Joseph,2017-18,2.7,1.0,0.2,average
758,Michael Kidd-Gilchrist,2017-18,2.9,0.7,0.4,average
768,Jeremy Lamb,2017-18,3.4,0.8,0.4,average
771,Zach LaVine,2017-18,3.5,1.0,0.2,average
774,Courtney Lee,2017-18,2.6,1.1,0.2,average
775,Damion Lee,2017-18,4.0,1.3,0.1,average
781,Caris LeVert,2017-18,2.9,1.2,0.3,average
783,Damian Lillard,2017-18,3.6,1.1,0.4,average
790,Kyle Lowry,2017-18,4.7,1.1,0.2,average
803,Wesley Matthews,2017-18,2.7,1.2,0.3,average
804,Luc Mbah a Moute,2017-18,2.7,1.2,0.4,average
807,CJ McCollum,2017-18,3.3,1.0,0.4,average
808,T.J. McConnell,2017-18,2.5,1.2,0.2,average
828,Donovan Mitchell,2017-18,3.1,1.5,0.3,average
834,E'Twaun Moore,2017-18,2.2,1.0,0.1,average
837,Marcus Morris,2017-18,4.6,0.6,0.2,average
846,Jamal Murray,2017-18,2.7,1.0,0.3,average
847,Mike Muscala,2017-18,3.3,0.6,0.5,average
850,Shabazz Napier,2017-18,1.9,1.1,0.2,average
860,David Nwaba,2017-18,3.4,0.8,0.4,average
871,Kelly Oubre Jr.,2017-18,3.8,1.0,0.4,average
875,Jabari Parker,2017-18,3.5,0.8,0.3,average
883,Cameron Payne,2017-18,2.0,1.0,0.4,average
884,Elfrid Payton,2017-18,3.3,1.3,0.3,average
914,Austin Rivers,2017-18,1.9,1.2,0.3,average
918,Rajon Rondo,2017-18,3.6,1.1,0.2,average
920,Terrence Ross,2017-18,2.6,1.1,0.5,average
921,Terry Rozier,2017-18,3.9,1.0,0.2,average
922,Ricky Rubio,2017-18,4.0,1.6,0.1,average
923,D'Angelo Russell,2017-18,3.3,0.8,0.4,average
928,Dennis Schröder,2017-18,2.4,1.1,0.1,average
930,Thabo Sefolosha,2017-18,3.5,1.4,0.3,average
937,Jonathon Simmons,2017-18,2.6,0.8,0.2,average
940,Marcus Smart,2017-18,2.7,1.3,0.4,average
941,Dennis Smith Jr.,2017-18,3.0,1.0,0.3,average
942,Ish Smith,2017-18,2.4,0.8,0.2,average
943,J.R. Smith,2017-18,2.6,0.9,0.1,average
949,Lance Stephenson,2017-18,4.4,0.6,0.2,average
956,Jeff Teague,2017-18,2.6,1.5,0.3,average
959,Garrett Temple,2017-18,2.0,0.9,0.4,average
974,Tyler Ulis,2017-18,1.5,1.0,0.1,average
976,Denzel Valentine,2017-18,4.5,0.8,0.1,average
977,Fred VanVleet,2017-18,2.1,0.9,0.3,average
982,Dion Waiters,2017-18,2.3,0.8,0.3,average
983,Kemba Walker,2017-18,2.7,1.1,0.3,average
985,Tyrone Wallace,2017-18,2.8,0.9,0.4,average
991,Briante Weber,2017-18,1.5,1.0,0.3,average
1005,Lou Williams,2017-18,2.0,1.1,0.2,average
1008,Troy Williams,2017-18,2.0,1.0,0.2,average
1015,Delon Wright,2017-18,2.2,1.0,0.5,average
1058,Harrison Barnes,2018-19,3.9,0.6,0.2,average
1079,Eric Bledsoe,2018-19,3.6,1.5,0.4,average
1081,Bogdan Bogdanović,2018-19,2.9,1.0,0.2,average
1082,Bojan Bogdanović,2018-19,3.7,0.9,0.0,average
1086,Devin Booker,2018-19,3.5,0.9,0.2,average
1090,Corey Brewer,2018-19,1.6,1.0,0.2,average
1091,Mikal Bridges,2018-19,2.5,1.6,0.5,average
1095,Malcolm Brogdon,2018-19,3.5,0.7,0.2,average
1099,Jaylen Brown,2018-19,3.4,0.9,0.4,average
1112,Kentavious Caldwell-Pope,2018-19,2.3,0.9,0.2,average
1120,Alex Caruso,2018-19,1.9,1.0,0.4,average
1135,Darren Collison,2018-19,2.6,1.4,0.1,average
1137,Mike Conley,2018-19,2.8,1.3,0.3,average
1169,Damyean Dotson,2018-19,3.1,0.8,0.1,average
1179,Wayne Ellington,2018-19,1.8,1.0,0.1,average
1185,Tyreke Evans,2018-19,2.4,0.8,0.3,average
1193,Dorian Finney-Smith,2018-19,3.1,0.9,0.4,average
1195,Evan Fournier,2018-19,2.7,0.9,0.1,average
1202,Markelle Fultz,2018-19,2.3,0.9,0.3,average
1212,Shai Gilgeous-Alexander,2018-19,2.1,1.2,0.5,average
1227,Jeff Green,2018-19,3.3,0.6,0.5,average
1231,Tim Hardaway Jr.,2018-19,2.9,0.8,0.1,average
1236,Gary Harris,2018-19,2.1,1.0,0.3,average
1240,Shaquille Harrison,2018-19,2.6,1.2,0.4,average
1244,Gordon Hayward,2018-19,3.8,0.9,0.3,average
1248,Mario Hezonja,2018-19,3.6,1.0,0.1,average
1250,Buddy Hield,2018-19,3.7,0.7,0.4,average
1257,Justin Holiday,2018-19,3.4,1.5,0.4,average
1265,Kevin Huerter,2018-19,2.5,0.9,0.3,average
1272,Joe Ingles,2018-19,3.6,1.2,0.2,average
1292,Stanley Johnson,2018-19,2.8,0.9,0.2,average
1293,Tyler Johnson,2018-19,2.4,0.9,0.5,average
1301,Tyus Jones,2018-19,1.6,1.2,0.1,average
1303,Cory Joseph,2018-19,2.9,1.1,0.3,average
1310,Kevin Knox,2018-19,3.7,0.6,0.3,average
1315,Rodions Kurucs,2018-19,3.0,0.7,0.4,average
1329,Caris LeVert,2018-19,2.9,1.1,0.4,average
1330,Damian Lillard,2018-19,3.8,1.1,0.4,average
1359,CJ McCollum,2018-19,3.1,0.8,0.4,average
1360,T.J. McConnell,2018-19,1.9,1.0,0.2,average
1369,De'Anthony Melton,2018-19,2.2,1.4,0.5,average
1371,Khris Middleton,2018-19,5.3,1.0,0.1,average
1379,Donovan Mitchell,2018-19,3.3,1.4,0.4,average
1387,Markieff Morris,2018-19,3.5,0.6,0.4,average
1392,Jamal Murray,2018-19,3.4,0.9,0.4,average
1408,Royce O'Neale,2018-19,3.2,0.7,0.3,average
1413,Josh Okogie,2018-19,2.4,1.2,0.4,average
1416,Cedi Osman,2018-19,4.1,0.8,0.1,average
1421,Chandler Parsons,2018-19,2.6,0.8,0.2,average
1424,Chris Paul,2018-19,3.9,2.0,0.3,average
1438,Taurean Prince,2018-19,3.2,1.0,0.3,average
1446,Josh Richardson,2018-19,2.9,1.1,0.5,average
1454,Rajon Rondo,2018-19,4.5,1.2,0.2,average
1456,Terrence Ross,2018-19,3.1,0.9,0.4,average
1457,Terry Rozier,2018-19,3.5,0.9,0.3,average
1458,Ricky Rubio,2018-19,3.1,1.3,0.1,average
1459,D'Angelo Russell,2018-19,3.2,1.2,0.2,average
1463,Dario Šarić,2018-19,4.1,0.6,0.1,average
1464,Tomáš Satoranský,2018-19,2.5,1.0,0.2,average
1465,Dennis Schröder,2018-19,3.1,0.8,0.2,average
1467,Thabo Sefolosha,2018-19,2.3,0.9,0.1,average
1471,Iman Shumpert,2018-19,2.5,1.0,0.4,average
1478,Marcus Smart,2018-19,2.2,1.8,0.4,average
1479,Dennis Smith Jr.,2018-19,2.3,1.3,0.4,average
1481,J.R. Smith,2018-19,1.6,1.0,0.3,average
1493,Jeff Teague,2018-19,2.1,1.0,0.4,average
1494,Garrett Temple,2018-19,2.5,1.0,0.4,average
1516,Fred VanVleet,2018-19,2.3,0.9,0.3,average
1519,Dwyane Wade,2018-19,3.0,0.8,0.5,average
1522,Kemba Walker,2018-19,3.8,1.2,0.4,average
1539,Kenrich Williams,2018-19,3.6,1.0,0.4,average
1547,Delon Wright,2018-19,2.6,1.2,0.4,average
1551,Trae Young,2018-19,2.9,0.9,0.2,average
1564,Al-Farouq Aminu,2019-20,3.5,1.0,0.4,average
1574,Trevor Ariza,2019-20,4.0,1.3,0.3,average
1582,Harrison Barnes,2019-20,3.9,0.6,0.2,average
1583,RJ Barrett,2019-20,4.1,1.0,0.3,average
1586,Nicolas Batum,2019-20,3.4,0.8,0.4,average
1590,Bradley Beal,2019-20,3.3,1.2,0.4,average
1594,DeAndre' Bembry,2019-20,2.7,1.3,0.4,average
1603,Bogdan Bogdanović,2019-20,3.0,1.0,0.2,average
1610,Devin Booker,2019-20,3.8,0.7,0.3,average
1613,Ky Bowman,2019-20,2.2,1.0,0.2,average
1614,Avery Bradley,2019-20,2.0,0.9,0.1,average
1623,Malcolm Brogdon,2019-20,4.0,0.6,0.2,average
1624,Dillon Brooks,2019-20,2.4,0.9,0.4,average
1630,Troy Brown Jr.,2019-20,4.4,1.2,0.1,average
1633,Reggie Bullock,2019-20,1.9,0.9,0.1,average
1635,Alec Burks,2019-20,3.5,0.9,0.3,average
1647,Michael Carter-Williams,2019-20,2.2,1.1,0.5,average
1648,Alex Caruso,2019-20,1.7,1.1,0.3,average
1674,Jarrett Culver,2019-20,2.3,0.9,0.6,average
1685,Hamidou Diallo,2019-20,2.7,0.8,0.2,average
1688,Donte DiVincenzo,2019-20,3.8,1.3,0.3,average
1697,Kris Dunn,2019-20,3.2,2.0,0.3,average
1714,Evan Fournier,2019-20,2.3,1.1,0.2,average
1715,De'Aaron Fox,2019-20,3.2,1.5,0.5,average
1720,Markelle Fultz,2019-20,2.7,1.3,0.2,average
1723,Danilo Gallinari,2019-20,4.6,0.7,0.1,average
1736,Devonte' Graham,2019-20,2.7,1.0,0.2,average
1741,Danny Green,2019-20,2.6,1.3,0.5,average
1749,Rui Hachimura,2019-20,4.5,0.8,0.2,average
1755,Maurice Harkless,2019-20,3.0,0.9,0.5,average
1758,Gary Harris,2019-20,2.4,1.4,0.3,average
1774,Buddy Hield,2019-20,3.8,0.9,0.2,average
1781,Rondae Hollis-Jefferson,2019-20,2.9,0.8,0.4,average
1783,Rodney Hood,2019-20,3.0,0.8,0.2,average
1786,Danuel House Jr.,2019-20,3.3,1.1,0.5,average
1790,De'Andre Hunter,2019-20,3.8,0.7,0.3,average
1791,Chandler Hutchison,2019-20,3.2,1.0,0.3,average
1795,Joe Ingles,2019-20,3.5,0.9,0.2,average
1802,Josh Jackson,2019-20,2.5,0.8,0.4,average
1814,Keldon Johnson,2019-20,2.8,0.8,0.1,average
1819,Derrick Jones Jr.,2019-20,2.8,1.0,0.6,average
1847,Damion Lee,2019-20,4.2,1.0,0.1,average
1851,Caris LeVert,2019-20,3.1,1.2,0.2,average
1852,Damian Lillard,2019-20,3.8,1.1,0.3,average
1870,Cody Martin,2019-20,2.5,0.8,0.2,average
1877,Patrick McCaw,2019-20,1.8,1.1,0.1,average
1885,Jordan McLaughlin,2019-20,1.4,1.1,0.1,average
1889,De'Anthony Melton,2019-20,3.0,1.3,0.3,average
1893,C.J. Miles,2019-20,0.8,1.0,0.4,average
1898,Donovan Mitchell,2019-20,3.6,1.0,0.2,average
1904,Ja Morant,2019-20,3.1,0.9,0.3,average
1913,Jamal Murray,2019-20,3.2,1.1,0.3,average
1919,Shabazz Napier,2019-20,2.4,1.2,0.2,average
1927,Frank Ntilikina,2019-20,1.7,0.9,0.3,average
1928,Kendrick Nunn,2019-20,2.4,0.8,0.2,average
1936,Josh Okogie,2019-20,2.9,1.1,0.4,average
1938,Victor Oladipo,2019-20,3.5,0.9,0.2,average
1939,Kelly Olynyk,2019-20,3.9,0.7,0.3,average
1941,Cedi Osman,2019-20,3.0,0.8,0.2,average
1951,Chris Paul,2019-20,4.6,1.6,0.2,average
1952,Cameron Payne,2019-20,3.4,1.0,0.3,average
1953,Elfrid Payton,2019-20,3.6,1.6,0.4,average
1954,Gary Payton II,2019-20,1.9,1.1,0.2,average
1962,Kevin Porter Jr.,2019-20,2.8,0.9,0.3,average
1964,Otto Porter Jr.,2019-20,2.5,1.1,0.4,average
1968,Norman Powell,2019-20,3.2,1.2,0.4,average
1973,Cam Reddish,2019-20,3.1,1.1,0.5,average
1980,Glenn Robinson III,2019-20,3.0,0.9,0.3,average
1987,Terrence Ross,2019-20,3.0,1.1,0.3,average
1988,Terry Rozier,2019-20,3.6,1.0,0.2,average
1989,Ricky Rubio,2019-20,4.0,1.4,0.2,average
1990,D'Angelo Russell,2019-20,3.6,1.1,0.3,average
1994,Dario Šarić,2019-20,4.6,0.6,0.2,average
1995,Tomáš Satoranský,2019-20,2.7,1.2,0.1,average
1997,Dennis Schröder,2019-20,3.3,0.7,0.2,average
2000,Collin Sexton,2019-20,2.2,1.0,0.1,average
2003,Iman Shumpert,2019-20,1.9,0.9,0.2,average
2009,Marcus Smart,2019-20,3.1,1.7,0.5,average
2011,Ish Smith,2019-20,2.8,0.9,0.4,average
2015,Omari Spellman,2019-20,2.9,0.7,0.5,average
2021,Garrett Temple,2019-20,3.0,0.8,0.5,average
2029,Matisse Thybulle,2019-20,1.0,1.4,0.7,average
2031,Juan Toscano-Anderson,2019-20,3.3,1.0,0.4,average
2043,Fred VanVleet,2019-20,3.4,1.9,0.3,average
2048,Moritz Wagner,2019-20,3.6,0.6,0.4,average
2050,Kemba Walker,2019-20,3.2,0.9,0.5,average
2054,Brad Wanamaker,2019-20,1.7,0.9,0.2,average
2055,T.J. Warren,2019-20,3.2,1.2,0.5,average
2062,Coby White,2019-20,3.1,0.8,0.1,average
2073,Zion Williamson,2019-20,3.6,0.7,0.4,average
2077,Delon Wright,2019-20,2.9,1.2,0.3,average
2079,Thaddeus Young,2019-20,3.5,1.4,0.4,average
2080,Trae Young,2019-20,3.7,1.1,0.1,average
2091,Nickeil Alexander-Walker,2020-21,2.8,1.0,0.5,average
2092,Grayson Allen,2020-21,2.8,0.9,0.2,average
2094,Al-Farouq Aminu,2020-21,3.8,0.8,0.4,average
2099,Carmelo Anthony,2020-21,2.6,0.7,0.6,average
2100,Cole Anthony,2020-21,3.9,0.6,0.4,average
2105,Deni Avdija,2020-21,4.4,0.6,0.3,average
2116,Will Barton,2020-21,3.3,0.9,0.4,average
2120,Kent Bazemore,2020-21,3.0,1.0,0.5,average
2122,Bradley Beal,2020-21,3.5,1.2,0.4,average
2123,Malik Beasley,2020-21,3.6,0.8,0.2,average
2125,DeAndre' Bembry,2020-21,2.2,1.0,0.4,average
2128,Saddiq Bey,2020-21,3.9,0.7,0.2,average
2134,Eric Bledsoe,2020-21,3.0,0.8,0.3,average
2136,Bogdan Bogdanović,2020-21,3.2,1.1,0.3,average
2142,Devin Booker,2020-21,3.7,0.8,0.2,average
2153,Malcolm Brogdon,2020-21,4.2,0.9,0.3,average
2155,Dillon Brooks,2020-21,2.1,1.2,0.4,average
2156,Bruce Brown,2020-21,3.7,0.9,0.4,average
2160,Sterling Brown,2020-21,3.6,0.7,0.2,average
2165,Reggie Bullock,2020-21,3.2,0.8,0.2,average
2167,Alec Burks,2020-21,4.2,0.6,0.3,average
2171,Kentavious Caldwell-Pope,2020-21,2.3,0.9,0.4,average
2172,Facundo Campazzo,2020-21,1.7,1.2,0.2,average
2179,Michael Carter-Williams,2020-21,3.2,0.8,0.5,average
2180,Alex Caruso,2020-21,2.4,1.1,0.3,average
2186,Jordan Clarkson,2020-21,3.3,0.9,0.1,average
2190,Mike Conley,2020-21,2.8,1.4,0.2,average
2191,Pat Connaughton,2020-21,3.9,0.7,0.3,average
2200,Stephen Curry,2020-21,5.0,1.2,0.1,average
2206,Dewayne Dedmon,2020-21,3.6,0.6,0.4,average
2208,DeMar DeRozan,2020-21,3.6,0.9,0.2,average
2213,Donte DiVincenzo,2020-21,4.5,1.1,0.2,average
2215,Luguentz Dort,2020-21,2.9,0.9,0.4,average
2231,James Ennis III,2020-21,3.0,0.8,0.2,average
2240,Dorian Finney-Smith,2020-21,3.8,0.9,0.4,average
2245,Evan Fournier,2020-21,2.8,1.1,0.5,average
2246,De'Aaron Fox,2020-21,2.9,1.5,0.5,average
2250,Markelle Fultz,2020-21,2.5,1.0,0.3,average
2255,Darius Garland,2020-21,2.0,1.2,0.1,average
2268,Devonte' Graham,2020-21,2.3,0.9,0.1,average
2276,Blake Griffin,2020-21,4.1,0.7,0.3,average
2278,Rui Hachimura,2020-21,4.6,0.8,0.1,average
2280,Tyrese Haliburton,2020-21,2.3,1.3,0.5,average
2286,Maurice Harkless,2020-21,2.1,0.8,0.5,average
2298,Killian Hayes,2020-21,2.4,1.0,0.4,average
2315,Talen Horton-Tucker,2020-21,2.2,1.0,0.3,average
2319,Kevin Huerter,2020-21,2.8,1.2,0.3,average
2326,Joe Ingles,2020-21,3.2,0.7,0.2,average
2345,Stanley Johnson,2020-21,2.0,0.9,0.3,average
2354,Cory Joseph,2020-21,2.0,1.0,0.3,average
2363,Furkan Korkmaz,2020-21,1.7,0.9,0.2,average
2381,Damian Lillard,2020-21,3.7,0.9,0.3,average
2393,Théo Maledon,2020-21,2.9,0.9,0.2,average
2399,Naji Marshall,2020-21,4.2,0.8,0.3,average
2412,CJ McCollum,2020-21,3.3,0.9,0.4,average
2413,T.J. McConnell,2020-21,2.9,1.9,0.3,average
2421,Jordan McLaughlin,2020-21,1.7,1.0,0.1,average
2424,De'Anthony Melton,2020-21,2.5,1.2,0.6,average
2427,Khris Middleton,2020-21,5.2,1.1,0.1,average
2432,Donovan Mitchell,2020-21,3.5,1.0,0.3,average
2436,Ja Morant,2020-21,3.1,0.9,0.2,average
2443,Jamal Murray,2020-21,3.3,1.3,0.3,average
2449,Raul Neto,2020-21,2.0,1.1,0.1,average
2455,Kendrick Nunn,2020-21,2.8,0.9,0.3,average
2463,Chuma Okeke,2020-21,3.1,1.1,0.5,average
2464,Josh Okogie,2020-21,1.6,0.9,0.5,average
2466,Isaac Okoro,2020-21,2.1,0.9,0.4,average
2472,Cedi Osman,2020-21,2.8,0.9,0.2,average
2480,Chris Paul,2020-21,4.1,1.4,0.3,average
2493,Kevin Porter Jr.,2020-21,3.0,0.7,0.3,average
2495,Otto Porter Jr.,2020-21,4.4,0.6,0.1,average
2499,Norman Powell,2020-21,2.5,1.2,0.3,average
2506,Cam Reddish,2020-21,3.2,1.3,0.3,average
2512,Josh Richardson,2020-21,2.4,1.0,0.4,average
2523,Derrick Rose,2020-21,2.2,1.0,0.4,average
2524,Terrence Ross,2020-21,3.1,1.0,0.5,average
2525,Terry Rozier,2020-21,3.7,1.3,0.4,average
