,Player,Season,class,G,MP,PER,BPM,VORP
616,Cheick Diallo,2017-18,1.0,52.0,11.2,17.0,-1.2,0.1
620,Damyean Dotson,2017-18,1.0,44.0,10.8,11.6,-2.3,0.0
638,Dante Exum,2017-18,1.0,14.0,16.8,16.7,0.1,0.1
639,Kenneth Faried,2017-18,1.0,32.0,14.4,17.4,-2.1,0.0
652,Channing Frye,2017-18,1.0,53.0,13.1,13.1,-0.5,0.3
653,Markelle Fultz,2017-18,1.0,14.0,18.1,12.4,-2.6,0.0
654,Danilo Gallinari,2017-18,1.0,21.0,32.0,13.8,-0.5,0.3
674,Gerald Green,2017-18,1.0,41.0,22.7,14.1,0.3,0.5
689,Shaquille Harrison,2017-18,1.0,23.0,16.7,15.6,-0.7,0.1
695,Myke Henry,2017-18,1.0,20.0,18.9,9.7,-1.3,0.1
698,Willy Hernangómez,2017-18,1.0,48.0,10.3,21.2,1.4,0.4
702,Nenê,2017-18,1.0,52.0,14.6,16.4,-1.0,0.2
710,Richaun Holmes,2017-18,1.0,48.0,15.5,17.4,1.1,0.6
714,Danuel House Jr.,2017-18,1.0,23.0,17.5,12.4,-1.6,0.0
726,Jonathan Isaac,2017-18,1.0,27.0,19.9,9.8,-1.4,0.1
735,Mike James,2017-18,1.0,36.0,19.1,13.9,-1.5,0.1
736,Al Jefferson,2017-18,1.0,36.0,13.4,20.2,2.0,0.5
741,Brice Johnson,2017-18,1.0,18.0,5.4,18.2,-0.4,0.0
742,Dakari Johnson,2017-18,1.0,31.0,5.2,16.4,-0.3,0.1
762,Luke Kornet,2017-18,1.0,20.0,16.3,13.6,0.2,0.2
770,Joffrey Lauvergne,2017-18,1.0,55.0,9.7,16.5,-1.0,0.1
771,Zach LaVine,2017-18,1.0,24.0,27.3,14.6,-2.3,-0.1
773,T.J. Leaf,2017-18,1.0,53.0,8.7,10.7,-3.1,-0.1
775,Damion Lee,2017-18,1.0,15.0,26.9,12.0,-1.9,0.0
779,Meyers Leonard,2017-18,1.0,33.0,7.7,17.8,2.0,0.3
795,Josh Magette,2017-18,1.0,18.0,12.0,11.9,-2.6,0.0
798,Boban Marjanović,2017-18,1.0,39.0,8.6,26.0,2.5,0.4
810,Chris McCullough,2017-18,1.0,19.0,4.7,15.8,-1.8,0.0
812,JaVale McGee,2017-18,1.0,65.0,9.5,22.3,1.5,0.5
813,Rodney McGruder,2017-18,1.0,18.0,16.6,12.0,-1.4,0.1
819,Salah Mejri,2017-18,1.0,61.0,12.0,17.8,0.7,0.5
840,Johnathan Motley,2017-18,1.0,11.0,16.0,17.2,-3.3,-0.1
