,Player,Season,class,G,MP,PER,BPM,VORP
423,Jason Terry,2016-17,0.0,74.0,18.4,9.1,-0.9,0.4
431,Anthony Tolliver,2016-17,0.0,65.0,22.7,11.1,-1.0,0.4
435,Evan Turner,2016-17,0.0,65.0,25.5,11.4,-2.5,-0.2
438,Tyler Ulis,2016-17,0.0,61.0,18.4,13.0,-2.4,-0.1
464,Deron Williams,2016-17,0.0,64.0,25.9,14.0,-1.8,0.1
486,Álex Abrines,2017-18,0.0,75.0,15.1,9.0,-1.5,0.1
502,Carmelo Anthony,2017-18,0.0,78.0,32.1,12.7,-1.9,0.0
503,OG Anunoby,2017-18,0.0,74.0,20.0,10.0,-0.6,0.5
533,Bismack Biyombo,2017-18,0.0,82.0,18.2,14.1,-2.4,-0.2
534,Nemanja Bjelica,2017-18,0.0,67.0,20.5,12.6,0.1,0.7
539,Bogdan Bogdanović,2017-18,0.0,78.0,27.9,13.5,-1.5,0.3
544,Trevor Booker,2017-18,0.0,68.0,17.0,14.9,-0.6,0.4
548,Corey Brewer,2017-18,0.0,72.0,16.8,11.2,-1.3,0.2
563,Alec Burks,2017-18,0.0,64.0,16.5,13.1,-0.9,0.3
567,José Calderón,2017-18,0.0,57.0,16.0,11.3,-1.9,0.0
572,Vince Carter,2017-18,0.0,58.0,17.7,10.8,-1.2,0.2
573,Michael Carter-Williams,2017-18,0.0,52.0,16.1,10.8,-1.5,0.1
579,Tyson Chandler,2017-18,0.0,46.0,25.0,14.2,-1.4,0.2
580,Wilson Chandler,2017-18,0.0,74.0,31.7,10.9,-2.1,-0.1
592,Pat Connaughton,2017-18,0.0,82.0,18.1,9.3,-1.8,0.1
601,Jamal Crawford,2017-18,0.0,80.0,20.7,13.0,-2.3,-0.1
604,Dante Cunningham,2017-18,0.0,73.0,21.4,10.0,-1.7,0.1
608,Deyonta Davis,2017-18,0.0,62.0,15.2,16.6,-1.5,0.1
609,Ed Davis,2017-18,0.0,78.0,18.9,15.5,-0.6,0.5
617,Gorgui Dieng,2017-18,0.0,79.0,16.9,14.7,-1.0,0.3
633,James Ennis III,2017-18,0.0,72.0,22.3,11.6,-1.2,0.3
643,Raymond Felton,2017-18,0.0,82.0,16.6,13.0,-0.6,0.5
645,Yogi Ferrell,2017-18,0.0,82.0,27.8,11.4,-1.4,0.4
650,Tim Frazier,2017-18,0.0,59.0,14.2,11.3,-0.9,0.2
655,Langston Galloway,2017-18,0.0,58.0,14.9,12.2,0.1,0.5
663,Manu Ginóbili,2017-18,0.0,65.0,20.0,12.9,-1.3,0.2
670,Jerian Grant,2017-18,0.0,74.0,22.8,14.3,-1.3,0.3
