,Player,Season,class,G,MP,PER,BPM,VORP
558,Sterling Brown,2017-18,1.0,54.0,14.4,9.1,-3.1,-0.2
578,Mario Chalmers,2017-18,1.0,66.0,21.5,10.4,-3.2,-0.4
581,Marquese Chriss,2017-18,1.0,72.0,21.2,11.1,-2.8,-0.3
582,Ian Clark,2017-18,1.0,74.0,19.7,9.4,-3.5,-0.6
587,Zach Collins,2017-18,1.0,66.0,15.8,7.5,-4.3,-0.6
603,Jae Crowder,2017-18,1.0,80.0,26.1,10.4,-2.5,-0.3
606,Troy Daniels,2017-18,1.0,79.0,20.5,9.8,-2.6,-0.3
611,Sam Dekker,2017-18,1.0,73.0,12.1,11.5,-2.9,-0.2
612,Malcolm Delaney,2017-18,1.0,54.0,18.8,10.6,-2.6,-0.1
619,Tyler Dorsey,2017-18,1.0,56.0,17.4,10.0,-2.9,-0.2
626,Jared Dudley,2017-18,1.0,48.0,14.3,8.8,-2.5,-0.1
634,Tyler Ennis,2017-18,1.0,54.0,12.6,11.1,-2.1,0.0
642,Cristiano Felício,2017-18,1.0,55.0,17.8,12.5,-3.9,-0.5
644,Terrance Ferguson,2017-18,1.0,61.0,12.5,7.4,-3.3,-0.3
647,Bryn Forbes,2017-18,1.0,80.0,19.0,9.1,-3.1,-0.4
649,De'Aaron Fox,2017-18,1.0,73.0,27.8,11.2,-4.2,-1.1
668,Treveon Graham,2017-18,1.0,63.0,16.7,9.0,-2.7,-0.2
716,Josh Huestis,2017-18,1.0,69.0,14.2,5.4,-3.9,-0.5
727,Wes Iwundu,2017-18,1.0,62.0,16.5,7.8,-4.3,-0.6
728,Jarrett Jack,2017-18,1.0,62.0,25.0,11.5,-2.8,-0.3
731,Josh Jackson,2017-18,1.0,77.0,25.4,11.8,-4.2,-1.1
732,Justin Jackson,2017-18,1.0,68.0,22.1,9.2,-3.5,-0.6
744,Joe Johnson,2017-18,1.0,55.0,21.9,8.1,-2.9,-0.3
746,Stanley Johnson,2017-18,1.0,69.0,27.4,9.0,-2.9,-0.4
759,Sean Kilpatrick,2017-18,1.0,52.0,12.3,11.6,-2.8,-0.1
782,DeAndre Liggins,2017-18,1.0,58.0,12.5,6.0,-2.5,-0.1
785,Shaun Livingston,2017-18,1.0,71.0,15.9,11.6,-3.1,-0.3
791,Timothé Luwawu-Cabarrot,2017-18,1.0,52.0,15.5,7.0,-4.1,-0.4
796,Ian Mahinmi,2017-18,1.0,77.0,14.9,12.2,-4.4,-0.7
797,Thon Maker,2017-18,1.0,74.0,16.7,10.2,-3.5,-0.5
800,Jarell Martin,2017-18,1.0,73.0,22.8,10.5,-4.0,-0.8
806,Patrick McCaw,2017-18,1.0,57.0,16.9,7.4,-4.1,-0.5
816,Ben McLemore,2017-18,1.0,56.0,19.5,9.7,-3.9,-0.5
830,Malik Monk,2017-18,1.0,63.0,13.6,10.3,-3.4,-0.3
842,Emmanuel Mudiay,2017-18,1.0,64.0,19.5,11.5,-3.9,-0.6
851,Jameer Nelson,2017-18,1.0,50.0,20.3,8.1,-3.3,-0.3
858,Frank Ntilikina,2017-18,1.0,78.0,21.9,7.0,-5.0,-1.3
864,Semi Ojeleye,2017-18,1.0,73.0,15.8,4.6,-4.7,-0.8
870,Cedi Osman,2017-18,1.0,61.0,11.0,11.0,-2.9,-0.1
876,Tony Parker,2017-18,1.0,55.0,19.5,12.7,-3.3,-0.3
880,Brandon Paul,2017-18,1.0,64.0,9.0,7.4,-3.5,-0.2
891,Miles Plumlee,2017-18,1.0,55.0,16.7,10.6,-3.8,-0.4
898,Norman Powell,2017-18,1.0,70.0,15.2,8.5,-2.9,-0.3
937,Jonathon Simmons,2017-18,1.0,69.0,29.4,12.7,-3.1,-0.5
943,J.R. Smith,2017-18,1.0,80.0,28.1,8.4,-3.0,-0.6
946,Tony Snell,2017-18,1.0,75.0,27.4,8.5,-2.3,-0.1
955,Isaiah Taylor,2017-18,1.0,67.0,17.4,10.9,-4.4,-0.7
959,Garrett Temple,2017-18,1.0,65.0,24.8,10.2,-2.5,-0.2
961,Jason Terry,2017-18,1.0,51.0,16.0,8.1,-2.0,0.0
963,Isaiah Thomas,2017-18,1.0,32.0,26.9,12.6,-4.9,-0.6
964,Lance Thomas,2017-18,1.0,73.0,18.5,6.3,-3.7,-0.6
966,Tristan Thompson,2017-18,1.0,53.0,20.2,13.6,-2.9,-0.2
967,Sindarius Thornwell,2017-18,1.0,73.0,15.8,8.2,-2.4,-0.1
971,Evan Turner,2017-18,1.0,79.0,25.7,9.9,-2.5,-0.3
974,Tyler Ulis,2017-18,1.0,71.0,23.4,10.1,-4.4,-1.0
982,Dion Waiters,2017-18,1.0,30.0,30.6,10.5,-3.5,-0.4
985,Tyrone Wallace,2017-18,1.0,30.0,28.4,10.1,-3.5,-0.3
1003,C.J. Williams,2017-18,1.0,38.0,18.6,9.5,-2.1,0.0
1018,Joe Young,2017-18,1.0,53.0,10.5,10.1,-3.5,-0.2
1019,Nick Young,2017-18,1.0,80.0,17.4,10.0,-3.5,-0.5
1046,OG Anunoby,2018-19,1.0,67.0,20.2,9.8,-2.4,-0.1
1051,Dwayne Bacon,2018-19,1.0,43.0,17.7,11.7,-3.7,-0.3
1071,Dragan Bender,2018-19,1.0,46.0,18.0,9.5,-4.1,-0.5
1078,Antonio Blakeney,2018-19,1.0,57.0,14.5,10.6,-5.2,-0.7
1088,Avery Bradley,2018-19,1.0,63.0,30.2,7.6,-3.7,-0.8
1098,Bruce Brown,2018-19,1.0,74.0,19.6,6.9,-3.3,-0.5
1102,Troy Brown Jr.,2018-19,1.0,52.0,14.0,11.1,-2.7,-0.1
1126,Wilson Chandler,2018-19,1.0,51.0,23.1,8.5,-2.8,-0.2
1131,Ian Clark,2018-19,1.0,60.0,16.2,8.3,-5.1,-0.8
1142,Allen Crabbe,2018-19,1.0,43.0,26.3,7.7,-2.8,-0.2
1144,Jamal Crawford,2018-19,1.0,64.0,18.9,11.7,-3.9,-0.6
1150,Troy Daniels,2018-19,1.0,51.0,14.9,9.8,-3.7,-0.3
1158,Matthew Dellavedova,2018-19,1.0,48.0,16.9,11.1,-4.4,-0.5
1168,Tyler Dorsey,2018-19,1.0,48.0,14.5,11.2,-3.5,-0.3
1169,Damyean Dotson,2018-19,1.0,73.0,27.5,10.8,-2.6,-0.3
1173,Jared Dudley,2018-19,1.0,59.0,20.7,7.8,-1.8,0.1
1185,Tyreke Evans,2018-19,1.0,69.0,20.3,11.5,-2.7,-0.2
1189,Cristiano Felício,2018-19,1.0,60.0,12.4,13.4,-4.1,-0.4
1191,Terrance Ferguson,2018-19,1.0,74.0,26.1,6.4,-3.8,-0.9
1211,Harry Giles,2018-19,1.0,58.0,14.1,14.4,-3.0,-0.2
1218,Devonte' Graham,2018-19,1.0,46.0,14.7,10.3,-4.0,-0.3
1235,Devin Harris,2018-19,1.0,68.0,15.8,10.7,-2.2,-0.1
1248,Mario Hezonja,2018-19,1.0,58.0,20.8,10.8,-3.8,-0.5
1254,Solomon Hill,2018-19,1.0,44.0,20.0,6.8,-3.6,-0.3
1259,Rondae Hollis-Jefferson,2018-19,1.0,59.0,20.9,12.5,-2.6,-0.2
1265,Kevin Huerter,2018-19,1.0,75.0,27.3,10.1,-2.4,-0.2
1268,Chandler Hutchison,2018-19,1.0,44.0,20.3,8.8,-3.9,-0.4
1277,Wes Iwundu,2018-19,1.0,68.0,18.1,8.7,-3.2,-0.4
1279,Frank Jackson,2018-19,1.0,61.0,19.2,9.4,-4.6,-0.8
1281,Josh Jackson,2018-19,1.0,79.0,25.2,10.6,-4.6,-1.3
1292,Stanley Johnson,2018-19,1.0,66.0,18.3,9.6,-2.2,0.0
1310,Kevin Knox,2018-19,1.0,75.0,28.8,8.7,-5.7,-2.0
1315,Rodions Kurucs,2018-19,1.0,63.0,20.5,11.0,-2.6,-0.2
1345,Shelvin Mack,2018-19,1.0,57.0,21.9,10.4,-3.0,-0.3
1363,Rodney McGruder,2018-19,1.0,66.0,23.5,9.4,-2.3,-0.1
1364,Alfonzo McKinnie,2018-19,1.0,72.0,13.9,11.2,-3.5,-0.4
1369,De'Anthony Melton,2018-19,1.0,50.0,19.7,9.9,-2.7,-0.2
1372,C.J. Miles,2018-19,1.0,53.0,16.2,9.0,-2.9,-0.2
1373,Darius Miller,2018-19,1.0,69.0,25.5,8.4,-2.9,-0.4
1381,Malik Monk,2018-19,1.0,73.0,17.2,11.8,-3.0,-0.3
1387,Markieff Morris,2018-19,1.0,58.0,21.9,11.7,-2.7,-0.2
1396,Abdel Nader,2018-19,1.0,61.0,11.4,8.8,-3.2,-0.2
1403,Dirk Nowitzki,2018-19,1.0,51.0,15.6,9.6,-3.9,-0.4
1410,Semi Ojeleye,2018-19,1.0,56.0,10.6,8.5,-4.0,-0.3
1412,Elie Okobo,2018-19,1.0,53.0,18.1,7.6,-5.7,-0.9
1413,Josh Okogie,2018-19,1.0,74.0,23.7,9.4,-3.1,-0.5
1416,Cedi Osman,2018-19,1.0,76.0,32.2,11.5,-3.2,-0.8
1422,Patrick Patterson,2018-19,1.0,63.0,13.7,8.1,-2.5,-0.1
1425,Cameron Payne,2018-19,1.0,40.0,17.8,11.5,-3.0,-0.2
1441,Chasson Randle,2018-19,1.0,49.0,15.2,9.9,-4.0,-0.4
1448,Austin Rivers,2018-19,1.0,76.0,26.7,7.7,-4.3,-1.1
1451,Glenn Robinson III,2018-19,1.0,47.0,13.0,8.7,-3.0,-0.2
1466,Mike Scott,2018-19,1.0,79.0,17.7,8.6,-2.5,-0.2
1468,Wayne Selden,2018-19,1.0,75.0,19.2,8.3,-5.4,-1.2
1469,Collin Sexton,2018-19,1.0,82.0,31.8,12.0,-4.7,-1.8
1475,Jonathon Simmons,2018-19,1.0,56.0,19.0,8.5,-4.2,-0.6
1494,Garrett Temple,2018-19,1.0,75.0,27.2,8.5,-2.8,-0.4
1505,Anthony Tolliver,2018-19,1.0,65.0,16.6,8.6,-2.4,-0.1
1508,Allonzo Trier,2018-19,1.0,64.0,22.8,12.2,-3.1,-0.4
1535,Andrew Wiggins,2018-19,1.0,73.0,34.8,12.4,-3.0,-0.6
1539,Kenrich Williams,2018-19,1.0,46.0,23.5,9.7,-1.9,0.0
1544,D.J. Wilson,2018-19,1.0,48.0,18.4,10.3,-2.2,0.0
1571,Carmelo Anthony,2019-20,1.0,58.0,32.8,12.4,-3.6,-0.8
1573,Ryan Arcidiacono,2019-20,1.0,58.0,16.0,9.0,-2.8,-0.2
1583,RJ Barrett,2019-20,1.0,56.0,30.4,10.7,-4.3,-1.0
1588,Kent Bazemore,2019-20,1.0,68.0,24.8,9.3,-3.0,-0.5
