,Player,Season,class,G,MP,PER,BPM,VORP
230,Stanley Johnson,2016-17,0.0,77.0,17.8,7.2,-3.0,-0.3
232,Wesley Johnson,2016-17,0.0,68.0,11.9,8.4,-2.0,0.0
241,Cory Joseph,2016-17,0.0,80.0,25.0,13.2,-1.3,0.4
242,Frank Kaminsky,2016-17,0.0,75.0,26.1,13.0,-1.2,0.4
245,Sean Kilpatrick,2016-17,0.0,70.0,25.1,13.1,-2.3,-0.1
246,Brandon Knight,2016-17,0.0,54.0,21.1,12.4,-2.8,-0.2
248,Kosta Koufos,2016-17,0.0,71.0,20.0,13.8,-2.5,-0.2
249,Mindaugas Kuzminskas,2016-17,0.0,68.0,14.9,12.4,-1.9,0.0
253,Joffrey Lauvergne,2016-17,0.0,70.0,14.0,12.6,-2.2,-0.1
259,Alex Len,2016-17,0.0,77.0,20.3,15.0,-2.3,-0.1
261,Meyers Leonard,2016-17,0.0,74.0,16.5,8.9,-3.3,-0.4
263,Caris LeVert,2016-17,0.0,57.0,21.7,12.3,-1.1,0.3
264,DeAndre Liggins,2016-17,0.0,62.0,12.5,7.5,-2.2,0.0
267,Shaun Livingston,2016-17,0.0,76.0,17.7,10.1,-2.5,-0.2
271,Robin Lopez,2016-17,0.0,81.0,28.0,14.4,-2.2,-0.1
275,Timothé Luwawu-Cabarrot,2016-17,0.0,69.0,17.2,8.5,-4.6,-0.8
276,Trey Lyles,2016-17,0.0,71.0,16.3,9.9,-2.2,-0.1
278,Shelvin Mack,2016-17,0.0,55.0,21.9,10.9,-2.3,-0.1
284,Luc Mbah a Moute,2016-17,0.0,80.0,22.3,10.2,-0.2,0.8
286,Patrick McCaw,2016-17,0.0,71.0,15.1,8.6,-2.4,-0.1
291,Doug McDermott,2016-17,0.0,66.0,22.8,10.7,-2.3,-0.1
293,Rodney McGruder,2016-17,0.0,78.0,25.2,9.1,-1.9,0.0
294,Ben McLemore,2016-17,0.0,61.0,19.3,9.8,-4.2,-0.6
298,Salah Mejri,2016-17,0.0,73.0,12.4,14.8,-0.7,0.3
308,E'Twaun Moore,2016-17,0.0,73.0,24.9,12.1,-1.6,0.2
311,Anthony Morrow,2016-17,0.0,49.0,14.6,10.1,-2.3,0.0
313,Timofey Mozgov,2016-17,0.0,54.0,20.4,12.3,-4.3,-0.7
314,Emmanuel Mudiay,2016-17,0.0,55.0,25.6,10.9,-3.2,-0.4
315,Shabazz Muhammad,2016-17,0.0,78.0,19.4,14.9,-2.4,-0.1
317,Jamal Murray,2016-17,0.0,82.0,21.5,11.9,-2.0,0.0
323,Jameer Nelson,2016-17,0.0,75.0,27.3,11.5,-2.0,0.0
337,Jahlil Okafor,2016-17,0.0,50.0,22.7,14.8,-2.5,-0.1
342,Kelly Oubre Jr.,2016-17,0.0,79.0,20.3,9.1,-3.2,-0.5
346,Tony Parker,2016-17,0.0,63.0,25.2,13.0,-2.6,-0.2
349,Patrick Patterson,2016-17,0.0,65.0,24.6,10.8,0.1,0.8
359,Jakob Poeltl,2016-17,0.0,54.0,11.6,12.2,-3.1,-0.2
361,Bobby Portis,2016-17,0.0,64.0,15.6,14.9,-1.5,0.1
364,Norman Powell,2016-17,0.0,76.0,18.0,14.0,-0.5,0.5
367,Taurean Prince,2016-17,0.0,59.0,16.6,9.8,-1.8,0.0
373,Willie Reed,2016-17,0.0,71.0,14.5,17.1,-0.9,0.3
374,Josh Richardson,2016-17,0.0,53.0,30.5,10.7,-1.1,0.4
376,Austin Rivers,2016-17,0.0,74.0,27.8,11.4,-2.2,-0.1
377,Andre Roberson,2016-17,0.0,79.0,30.1,9.6,-1.0,0.6
379,Glenn Robinson III,2016-17,0.0,69.0,20.7,11.5,-0.3,0.6
381,Sergio Rodríguez,2016-17,0.0,68.0,22.3,11.1,-2.7,-0.3
385,Terry Rozier,2016-17,0.0,74.0,17.1,10.9,-1.4,0.2
388,Brandon Rush,2016-17,0.0,47.0,21.9,6.6,-2.5,-0.1
390,Domantas Sabonis,2016-17,0.0,81.0,20.1,6.9,-4.5,-1.0
392,Dario Šarić,2016-17,0.0,81.0,26.3,12.8,-2.3,-0.2
393,Tomáš Satoranský,2016-17,0.0,57.0,12.6,8.5,-2.4,-0.1
400,Ramon Sessions,2016-17,0.0,50.0,16.2,12.4,-2.4,-0.1
401,Iman Shumpert,2016-17,0.0,76.0,25.5,9.0,-2.3,-0.1
402,Pascal Siakam,2016-17,0.0,55.0,15.6,11.5,-2.4,-0.1
403,Jonathon Simmons,2016-17,0.0,78.0,17.8,9.9,-2.6,-0.2
405,Marcus Smart,2016-17,0.0,79.0,30.4,12.0,-1.3,0.4
407,J.R. Smith,2016-17,0.0,41.0,29.0,8.1,-2.1,0.0
408,Jason Smith,2016-17,0.0,74.0,14.4,13.6,-1.8,0.1
409,Tony Snell,2016-17,0.0,80.0,29.2,9.7,-1.7,0.2
412,Nik Stauskas,2016-17,0.0,80.0,27.4,9.0,-2.8,-0.5
421,Mirza Teletović,2016-17,0.0,70.0,16.2,8.8,-3.8,-0.5
422,Garrett Temple,2016-17,0.0,65.0,26.6,11.2,-0.8,0.5
423,Jason Terry,2016-17,0.0,74.0,18.4,9.1,-0.9,0.4
425,Lance Thomas,2016-17,0.0,46.0,21.0,8.4,-3.5,-0.4
426,Hollis Thompson,2016-17,0.0,40.0,18.8,7.9,-2.6,-0.1
431,Anthony Tolliver,2016-17,0.0,65.0,22.7,11.1,-1.0,0.4
435,Evan Turner,2016-17,0.0,65.0,25.5,11.4,-2.5,-0.2
438,Tyler Ulis,2016-17,0.0,61.0,18.4,13.0,-2.4,-0.1
441,Denzel Valentine,2016-17,0.0,57.0,17.1,7.3,-3.3,-0.3
446,Noah Vonleh,2016-17,0.0,74.0,17.1,10.8,-3.9,-0.6
454,C.J. Watson,2016-17,0.0,62.0,16.3,9.3,-3.6,-0.4
459,Isaiah Whitehead,2016-17,0.0,73.0,22.5,7.6,-5.1,-1.3
464,Deron Williams,2016-17,0.0,64.0,25.9,14.0,-1.8,0.1
465,Derrick Williams,2016-17,0.0,50.0,16.1,10.6,-2.9,-0.2
486,Álex Abrines,2017-18,0.0,75.0,15.1,9.0,-1.5,0.1
487,Quincy Acy,2017-18,0.0,70.0,19.4,8.2,-2.5,-0.2
502,Carmelo Anthony,2017-18,0.0,78.0,32.1,12.7,-1.9,0.0
503,OG Anunoby,2017-18,0.0,74.0,20.0,10.0,-0.6,0.5
510,Luke Babbitt,2017-18,0.0,50.0,14.3,9.8,-2.4,-0.1
519,Jerryd Bayless,2017-18,0.0,39.0,23.7,7.5,-2.8,-0.2
520,Aron Baynes,2017-18,0.0,81.0,18.3,12.0,-2.9,-0.3
523,Malik Beasley,2017-18,0.0,62.0,9.4,9.0,-3.8,-0.3
528,Dragan Bender,2017-18,0.0,82.0,25.2,7.1,-3.7,-0.9
533,Bismack Biyombo,2017-18,0.0,82.0,18.2,14.1,-2.4,-0.2
534,Nemanja Bjelica,2017-18,0.0,67.0,20.5,12.6,0.1,0.7
539,Bogdan Bogdanović,2017-18,0.0,78.0,27.9,13.5,-1.5,0.3
544,Trevor Booker,2017-18,0.0,68.0,17.0,14.9,-0.6,0.4
546,Avery Bradley,2017-18,0.0,46.0,31.2,9.6,-4.0,-0.7
548,Corey Brewer,2017-18,0.0,72.0,16.8,11.2,-1.3,0.2
551,Dillon Brooks,2017-18,0.0,82.0,28.7,9.8,-4.0,-1.2
558,Sterling Brown,2017-18,0.0,54.0,14.4,9.1,-3.1,-0.2
563,Alec Burks,2017-18,0.0,64.0,16.5,13.1,-0.9,0.3
567,José Calderón,2017-18,0.0,57.0,16.0,11.3,-1.9,0.0
572,Vince Carter,2017-18,0.0,58.0,17.7,10.8,-1.2,0.2
573,Michael Carter-Williams,2017-18,0.0,52.0,16.1,10.8,-1.5,0.1
578,Mario Chalmers,2017-18,0.0,66.0,21.5,10.4,-3.2,-0.4
579,Tyson Chandler,2017-18,0.0,46.0,25.0,14.2,-1.4,0.2
580,Wilson Chandler,2017-18,0.0,74.0,31.7,10.9,-2.1,-0.1
581,Marquese Chriss,2017-18,0.0,72.0,21.2,11.1,-2.8,-0.3
582,Ian Clark,2017-18,0.0,74.0,19.7,9.4,-3.5,-0.6
587,Zach Collins,2017-18,0.0,66.0,15.8,7.5,-4.3,-0.6
592,Pat Connaughton,2017-18,0.0,82.0,18.1,9.3,-1.8,0.1
601,Jamal Crawford,2017-18,0.0,80.0,20.7,13.0,-2.3,-0.1
603,Jae Crowder,2017-18,0.0,80.0,26.1,10.4,-2.5,-0.3
604,Dante Cunningham,2017-18,0.0,73.0,21.4,10.0,-1.7,0.1
606,Troy Daniels,2017-18,0.0,79.0,20.5,9.8,-2.6,-0.3
608,Deyonta Davis,2017-18,0.0,62.0,15.2,16.6,-1.5,0.1
609,Ed Davis,2017-18,0.0,78.0,18.9,15.5,-0.6,0.5
611,Sam Dekker,2017-18,0.0,73.0,12.1,11.5,-2.9,-0.2
612,Malcolm Delaney,2017-18,0.0,54.0,18.8,10.6,-2.6,-0.1
