,id,player,u_player,vorp,per,bpm
69,70,Isaiah Canaan,Isaiah Canaan 2016-17,-0.2,8.1,-3.3
70,71,Clint Capela,Clint Capela 2016-17,1.2,21.4,1.2
71,72,DeMarre Carroll,DeMarre Carroll 2016-17,1.0,11.9,0.0
72,73,Vince Carter,Vince Carter 2016-17,1.3,11.7,0.8
73,74,Michael Carter-Williams,Michael Carter-Williams 2016-17,-0.3,9.9,-3.2
74,75,Omri Casspi,Omri Casspi 2016-17,-0.2,10.0,-3.2
75,76,Willie Cauley-Stein,Willie Cauley-Stein 2016-17,0.3,16.3,-1.0
76,77,Tyson Chandler,Tyson Chandler 2016-17,0.8,16.6,0.3
77,78,Wilson Chandler,Wilson Chandler 2016-17,0.5,14.9,-1.0
78,79,Marquese Chriss,Marquese Chriss 2016-17,-0.1,12.3,-2.2
79,80,Rakeem Christmas,Rakeem Christmas 2016-17,-0.2,10.4,-5.0
80,81,Semaj Christon,Semaj Christon 2016-17,-0.8,5.7,-5.1
81,82,Ian Clark,Ian Clark 2016-17,0.1,13.1,-1.5
82,83,Jordan Clarkson,Jordan Clarkson 2016-17,-0.3,13.2,-2.5
83,84,Norris Cole,Norris Cole 2016-17,-0.1,5.4,-6.7
84,85,Darren Collison,Darren Collison 2016-17,0.6,15.3,-0.9
85,86,Nick Collison,Nick Collison 2016-17,0.1,12.9,-0.2
86,87,Mike Conley,Mike Conley 2016-17,5.1,23.2,6.8
87,88,Pat Connaughton,Pat Connaughton 2016-17,0.1,11.8,-0.7
88,89,Quinn Cook,Quinn Cook 2016-17,-0.1,11.8,-3.1
89,90,DeMarcus Cousins,DeMarcus Cousins 2016-17,5.5,25.8,6.8
90,91,Robert Covington,Robert Covington 2016-17,1.1,13.2,0.2
91,92,Allen Crabbe,Allen Crabbe 2016-17,0.4,11.6,-1.3
92,93,Jamal Crawford,Jamal Crawford 2016-17,0.0,12.0,-2.1
93,94,Jordan Crawford,Jordan Crawford 2016-17,0.4,17.6,1.3
94,95,Jae Crowder,Jae Crowder 2016-17,1.7,14.9,0.9
95,96,Dante Cunningham,Dante Cunningham 2016-17,0.2,10.2,-1.6
96,97,Seth Curry,Seth Curry 2016-17,1.7,15.5,1.2
97,98,Stephen Curry,Stephen Curry 2016-17,5.9,24.6,6.9
98,99,Troy Daniels,Troy Daniels 2016-17,0.0,10.4,-1.8
99,100,Anthony Davis,Anthony Davis 2016-17,5.4,27.5,5.9
100,101,Deyonta Davis,Deyonta Davis 2016-17,-0.2,10.6,-4.6
101,102,Ed Davis,Ed Davis 2016-17,-0.4,11.5,-4.1
102,103,Dewayne Dedmon,Dewayne Dedmon 2016-17,0.9,16.0,0.6
103,104,Sam Dekker,Sam Dekker 2016-17,0.6,13.1,-0.2
104,105,Malcolm Delaney,Malcolm Delaney 2016-17,-1.1,7.5,-5.6
105,106,Matthew Dellavedova,Matthew Dellavedova 2016-17,-1.1,9.4,-4.2
106,107,Luol Deng,Luol Deng 2016-17,0.0,10.1,-2.1
107,108,DeMar DeRozan,DeMar DeRozan 2016-17,3.3,24.0,3.0
108,109,Cheick Diallo,Cheick Diallo 2016-17,-0.1,16.8,-3.7
109,110,Boris Diaw,Boris Diaw 2016-17,-0.1,9.0,-2.5
110,111,Gorgui Dieng,Gorgui Dieng 2016-17,1.3,14.2,-0.1
111,112,Spencer Dinwiddie,Spencer Dinwiddie 2016-17,0.4,12.7,-1.0
112,113,Toney Douglas,Toney Douglas 2016-17,0.1,10.6,-1.5
113,114,Goran Dragić,Goran Dragić 2016-17,2.9,19.8,2.6
114,115,Andre Drummond,Andre Drummond 2016-17,1.8,20.9,1.0
115,116,Jared Dudley,Jared Dudley 2016-17,0.3,10.6,-1.0
116,117,Mike Dunleavy,Mike Dunleavy 2016-17,0.1,10.1,-1.4
117,118,Kris Dunn,Kris Dunn 2016-17,-0.3,8.1,-2.8
118,119,Kevin Durant,Kevin Durant 2016-17,5.7,27.6,8.9
119,120,Jarell Eddie,Jarell Eddie 2016-17,0.0,9.7,-2.4
120,121,Henry Ellenson,Henry Ellenson 2016-17,-0.1,7.5,-5.9
121,122,Wayne Ellington,Wayne Ellington 2016-17,0.7,12.6,-0.1
122,123,Monta Ellis,Monta Ellis 2016-17,-0.5,9.9,-2.9
123,124,Joel Embiid,Joel Embiid 2016-17,1.3,24.1,4.5
124,125,James Ennis III,James Ennis III 2016-17,0.3,10.6,-1.2
125,126,Tyler Ennis,Tyler Ennis 2016-17,-0.2,10.9,-3.2
126,127,Tyreke Evans,Tyreke Evans 2016-17,0.5,15.5,0.4
127,128,Dante Exum,Dante Exum 2016-17,-0.4,8.5,-3.3
128,129,Kenneth Faried,Kenneth Faried 2016-17,0.7,20.3,0.3
129,131,Derrick Favors,Derrick Favors 2016-17,0.6,15.8,-0.1
130,132,Kay Felder,Kay Felder 2016-17,0.0,11.4,-2.4
131,133,Cristiano Felício,Cristiano Felício 2016-17,0.3,15.3,-0.7
132,134,Raymond Felton,Raymond Felton 2016-17,0.3,10.9,-1.3
133,135,Yogi Ferrell,Yogi Ferrell 2016-17,0.3,13.1,-1.1
134,136,Dorian Finney-Smith,Dorian Finney-Smith 2016-17,-0.3,7.7,-2.6
135,137,Bryn Forbes,Bryn Forbes 2016-17,-0.2,5.9,-5.4
136,138,Evan Fournier,Evan Fournier 2016-17,0.4,13.9,-1.3
137,139,Randy Foye,Randy Foye 2016-17,-0.8,7.3,-4.4
138,140,Tim Frazier,Tim Frazier 2016-17,-0.3,12.4,-2.7
139,141,Enes Freedom,Enes Freedom 2016-17,1.4,23.7,1.7
140,142,Channing Frye,Channing Frye 2016-17,1.1,15.6,1.0
141,143,Danilo Gallinari,Danilo Gallinari 2016-17,1.9,17.4,1.4
142,144,Langston Galloway,Langston Galloway 2016-17,-0.1,10.4,-2.3
143,145,Patricio Garino,Patricio Garino 2016-17,-0.2,-9.2,-17.9
144,146,Marc Gasol,Marc Gasol 2016-17,4.6,20.3,5.2
145,147,Pau Gasol,Pau Gasol 2016-17,2.5,20.2,4.0
146,148,Rudy Gay,Rudy Gay 2016-17,1.0,17.9,1.9
147,149,Michael Gbinije,Michael Gbinije 2016-17,-0.1,-2.1,-12.1
148,150,Alonzo Gee,Alonzo Gee 2016-17,-0.1,3.1,-6.7
149,151,Paul George,Paul George 2016-17,3.4,20.2,3.1
150,152,Marcus Georges-Hunt,Marcus Georges-Hunt 2016-17,0.0,10.2,-4.5
151,153,Jonathan Gibson,Jonathan Gibson 2016-17,-0.1,9.5,-3.7
152,154,Taj Gibson,Taj Gibson 2016-17,0.2,15.0,-1.5
153,155,Manu Ginóbili,Manu Ginóbili 2016-17,1.1,13.9,1.4
154,156,Rudy Gobert,Rudy Gobert 2016-17,4.4,23.3,4.4
155,157,Archie Goodwin,Archie Goodwin 2016-17,0.2,18.7,1.9
156,158,Aaron Gordon,Aaron Gordon 2016-17,0.6,14.5,-1.0
157,159,Eric Gordon,Eric Gordon 2016-17,1.1,13.2,-0.1
158,160,Marcin Gortat,Marcin Gortat 2016-17,0.8,15.4,-0.8
159,161,Treveon Graham,Treveon Graham 2016-17,0.1,10.6,-1.0
160,162,Jerami Grant,Jerami Grant 2016-17,0.3,10.1,-1.3
161,163,Jerian Grant,Jerian Grant 2016-17,0.6,13.2,0.1
