player,vorp,per,bpm,class
Jalen Brunson,0.5333333333333333,14.933333333333335,-0.5666666666666667,1
Jalen Harris,0.1,15.2,0.3,1
Jamal Murray,1.1800000000000002,16.0,0.3,1
Jameel Warney,0.0,22.5,-0.2,1
James Harden,7.2,28.28,9.28,1
Jaren Jackson Jr.,0.6,16.900000000000002,0.06666666666666668,1
Jarrett Allen,1.45,19.2,1.0499999999999998,1
Jaxson Hayes,0.55,18.35,0.15,1
Jaylen Brown,0.78,14.839999999999998,-0.6,1
Jayson Tatum,2.475,18.0,2.225,1
Jeff Teague,0.96,15.580000000000002,-0.3,1
Jerami Grant,0.9800000000000001,14.280000000000001,-0.039999999999999994,1
Jeremy Lamb,1.1,16.22,0.86,1
Jeremy Lin,0.4,16.35,-0.10000000000000009,1
Jimmy Butler,4.4,23.82,5.9799999999999995,1
Joakim Noah,0.275,15.125,-0.2,1
Joe Ingles,2.18,13.74,1.9,1
Joel Bolomboy,0.05,15.7,-0.8,1
Joel Embiid,2.8,25.839999999999996,4.9799999999999995,1
John Collins,1.45,21.05,1.525,1
John Henson,0.3,16.275,0.225,1
John Konchar,0.4,16.4,2.85,1
John Wall,1.95,18.925,1.975,1
Johnathan Motley,0.0,21.53333333333333,0.9666666666666668,1
Jonas Valančiūnas,1.72,22.72,2.16,1
Jonathan Gibson,0.0,17.45,0.19999999999999973,1
Jordan Clarkson,0.8800000000000001,16.16,-0.07999999999999999,1
Jordan Crawford,0.25,18.35,2.75,1
Jordan Loyd,0.0,16.3,-1.0,1
Jordan Nwora,0.1,16.1,-1.1,1
Jrue Holiday,2.44,18.259999999999998,2.22,1
Julius Randle,1.7600000000000002,18.880000000000003,0.9399999999999998,1
Jusuf Nurkić,1.1,20.64,1.4600000000000002,1
Karl-Anthony Towns,4.24,25.34,5.62,1
Kawhi Leonard,4.34,26.46,8.58,1
Keldon Johnson,0.25,16.450000000000003,-0.050000000000000044,1
Kelly Olynyk,1.3199999999999998,15.7,1.1,1
Kemba Walker,3.4200000000000004,20.259999999999998,3.8,1
Kenneth Faried,0.3333333333333333,19.766666666666666,-0.6666666666666666,1
Kevin Durant,4.75,26.05,7.225,1
Kevin Love,1.3599999999999999,19.2,1.78,1
Khem Birch,0.25,15.6,-0.775,1
Khris Middleton,1.6800000000000002,17.64,1.18,1
Klay Thompson,1.3666666666666665,16.666666666666668,0.03333333333333335,1
Kristaps Porziņģis,1.5,19.825,1.55,1
Kyle Anderson,1.54,14.180000000000001,1.86,1
Kyle Lowry,3.1599999999999997,18.619999999999997,3.6799999999999997,1
Kyle O'Quinn,0.9,18.975,2.1,1
Kyrie Irving,3.6399999999999997,24.580000000000002,6.220000000000001,1
LaMarcus Aldridge,1.9600000000000002,20.380000000000003,1.52,1
LaMelo Ball,1.4,17.5,1.8,1
Larry Nance Jr.,1.34,17.0,1.5,1
Lauri Markkanen,0.7,15.55,-0.225,1
LeBron James,5.9399999999999995,26.18,8.16,1
Lou Williams,1.8,18.82,1.3199999999999998,1
Lucas Nogueira,0.9500000000000001,16.4,3.6,1
Luka Dončić,4.633333333333334,24.166666666666668,6.366666666666667,1
Malcolm Brogdon,1.3199999999999998,16.52,0.9,1
Mangok Mathiang,0.0,18.0,-4.6,1
