,player,year,g,mp,per,bpm,vorp,class
40,LeBron James,2018-19,55.0,35.2,25.6,8.0,4.9,elite
41,Nikola Jokić,2018-19,80.0,31.3,26.3,9.1,7.0,elite
42,Kawhi Leonard,2018-19,60.0,34.0,25.8,7.2,4.7,elite
43,Damian Lillard,2018-19,80.0,35.5,23.7,6.4,6.0,elite
44,Karl-Anthony Towns,2018-19,77.0,33.1,26.3,6.0,5.1,elite
45,Nikola Vučević,2018-19,80.0,31.4,25.5,6.6,5.5,elite
46,Giannis Antetokounmpo,2019-20,63.0,30.4,31.9,11.5,6.6,elite
47,Anthony Davis,2019-20,62.0,34.4,27.4,8.0,5.4,elite
48,Luka Dončić,2019-20,61.0,33.6,27.6,8.4,5.4,elite
49,James Harden,2019-20,68.0,36.5,29.1,9.6,7.3,elite
50,LeBron James,2019-20,67.0,34.6,25.5,8.4,6.1,elite
51,Nikola Jokić,2019-20,73.0,32.0,24.9,7.4,5.5,elite
52,Kawhi Leonard,2019-20,57.0,32.4,26.9,8.9,5.1,elite
53,Damian Lillard,2019-20,66.0,37.5,26.9,7.5,5.9,elite
54,Karl-Anthony Towns,2019-20,35.0,33.9,26.5,7.8,2.9,elite
55,Giannis Antetokounmpo,2020-21,61.0,33.0,29.2,9.0,5.6,elite
56,Jimmy Butler,2020-21,52.0,33.6,26.5,7.7,4.3,elite
57,Stephen Curry,2020-21,63.0,34.2,26.3,8.7,5.8,elite
58,Luka Dončić,2020-21,66.0,34.3,25.3,6.8,5.1,elite
59,Joel Embiid,2020-21,51.0,31.1,30.3,7.5,3.8,elite
60,James Harden,2020-21,44.0,36.6,24.5,7.2,3.7,elite
61,LeBron James,2020-21,45.0,33.4,24.2,8.1,3.8,elite
62,Nikola Jokić,2020-21,72.0,34.6,31.3,12.1,8.8,elite
63,Kawhi Leonard,2020-21,52.0,34.1,26.0,7.3,4.2,elite
64,Damian Lillard,2020-21,67.0,35.8,25.6,6.3,5.0,elite
65,Zion Williamson,2020-21,61.0,33.2,27.1,5.8,4.0,elite
66,Bradley Beal,2016-17,77.0,34.9,20.1,3.3,3.5,great
67,Eric Bledsoe,2016-17,66.0,33.0,20.5,3.6,3.1,great
68,DeMar DeRozan,2016-17,74.0,35.4,24.0,3.0,3.3,great
69,Goran Dragić,2016-17,73.0,33.7,19.8,2.6,2.9,great
70,Marc Gasol,2016-17,74.0,34.2,20.3,5.2,4.6,great
71,Paul George,2016-17,75.0,35.9,20.2,3.1,3.4,great
72,Rudy Gobert,2016-17,81.0,33.9,23.3,4.4,4.4,great
73,Draymond Green,2016-17,76.0,32.5,16.5,4.9,4.3,great
74,Blake Griffin,2016-17,61.0,34.0,22.6,4.7,3.5,great
75,Gordon Hayward,2016-17,73.0,34.5,22.2,5.0,4.5,great
76,Al Horford,2016-17,68.0,32.3,17.7,3.4,3.0,great
77,Kyrie Irving,2016-17,72.0,35.1,23.0,3.4,3.4,great
78,DeAndre Jordan,2016-17,81.0,31.7,21.8,3.3,3.5,great
79,CJ McCollum,2016-17,80.0,35.0,19.9,2.0,2.8,great
80,Otto Porter Jr.,2016-17,80.0,32.6,17.3,3.3,3.5,great
81,Kemba Walker,2016-17,79.0,34.7,21.3,4.1,4.2,great
82,Lou Williams,2016-17,81.0,24.6,21.4,3.9,3.0,great
83,LaMarcus Aldridge,2017-18,75.0,33.5,25.0,3.9,3.7,great
84,Bradley Beal,2017-18,82.0,36.3,18.4,2.2,3.1,great
85,MarShon Brooks,2017-18,7.0,27.6,26.1,7.1,0.4,great
86,Clint Capela,2017-18,74.0,27.5,24.5,3.4,2.8,great
87,DeMarcus Cousins,2017-18,48.0,36.2,22.6,4.7,2.9,great
88,DeMar DeRozan,2017-18,80.0,33.9,21.0,2.8,3.2,great
89,Andre Drummond,2017-18,78.0,33.7,22.9,3.2,3.4,great
90,Joel Embiid,2017-18,63.0,30.3,22.9,3.3,2.6,great
91,Tyreke Evans,2017-18,52.0,30.9,21.1,4.5,2.6,great
92,Paul George,2017-18,79.0,36.6,18.7,2.9,3.6,great
93,Rudy Gobert,2017-18,56.0,32.4,20.7,3.4,2.5,great
94,Blake Griffin,2017-18,58.0,34.0,19.6,3.4,2.7,great
95,Al Horford,2017-18,72.0,31.6,17.6,4.4,3.7,great
96,Kawhi Leonard,2017-18,9.0,23.3,26.0,10.1,0.6,great
97,Kevin Love,2017-18,59.0,28.0,22.4,3.3,2.2,great
98,Kyle Lowry,2017-18,78.0,32.2,19.5,5.2,4.5,great
99,Otto Porter Jr.,2017-18,77.0,31.6,18.3,3.5,3.4,great
100,Ben Simmons,2017-18,81.0,33.7,20.0,4.5,4.5,great
101,Kemba Walker,2017-18,80.0,34.2,20.6,4.0,4.2,great
102,Lou Williams,2017-18,79.0,32.8,20.2,2.3,2.8,great
103,LaMarcus Aldridge,2018-19,81.0,33.2,22.9,1.8,2.6,great
104,Bradley Beal,2018-19,82.0,36.9,20.8,2.9,3.7,great
105,Jimmy Butler,2018-19,65.0,33.6,20.2,3.7,3.2,great
106,Clint Capela,2018-19,67.0,33.6,23.8,3.0,2.8,great
107,Mike Conley,2018-19,70.0,33.5,21.4,4.7,3.9,great
108,Luka Dončić,2018-19,72.0,32.2,19.6,3.9,3.4,great
109,Andre Drummond,2018-19,79.0,33.5,23.4,2.1,2.7,great
110,Joel Embiid,2018-19,64.0,33.7,26.1,4.9,3.8,great
111,Danilo Gallinari,2018-19,68.0,30.3,21.0,4.3,3.3,great
112,Blake Griffin,2018-19,75.0,35.0,21.0,5.1,4.7,great
113,Montrezl Harrell,2018-19,82.0,26.3,23.4,3.3,2.9,great
114,Jrue Holiday,2018-19,67.0,35.9,19.4,3.0,3.1,great
115,Al Horford,2018-19,68.0,29.0,20.2,5.1,3.6,great
116,Jusuf Nurkić,2018-19,72.0,27.4,23.4,3.7,2.8,great
117,Chris Paul,2018-19,58.0,32.0,19.7,3.9,2.8,great
118,D'Angelo Russell,2018-19,81.0,30.2,19.4,3.4,3.4,great
119,Ben Simmons,2018-19,79.0,34.2,20.0,3.6,3.8,great
120,Kemba Walker,2018-19,82.0,34.9,21.7,4.2,4.4,great
121,Russell Westbrook,2018-19,73.0,36.0,21.1,5.2,4.7,great
122,Bam Adebayo,2019-20,72.0,33.6,20.3,3.4,3.3,great
123,Bradley Beal,2019-20,57.0,36.0,23.2,2.9,2.5,great
124,Devin Booker,2019-20,70.0,35.9,20.6,2.2,2.6,great
125,Jimmy Butler,2019-20,58.0,33.8,23.6,5.4,3.7,great
126,John Collins,2019-20,41.0,33.2,23.5,3.1,1.7,great
127,Joel Embiid,2019-20,51.0,29.5,25.8,4.7,2.5,great
128,Paul George,2019-20,48.0,29.6,21.1,4.9,2.5,great
129,Rudy Gobert,2019-20,68.0,34.3,21.7,3.6,3.3,great
130,Montrezl Harrell,2019-20,63.0,27.8,23.2,2.9,2.2,great
131,Kyrie Irving,2019-20,20.0,32.9,26.2,7.7,1.6,great
132,Kyle Lowry,2019-20,58.0,36.2,17.7,3.2,2.8,great
133,Khris Middleton,2019-20,62.0,29.9,21.1,4.1,2.9,great
134,Chris Paul,2019-20,70.0,31.5,21.7,4.4,3.5,great
135,Domantas Sabonis,2019-20,62.0,34.8,20.7,3.2,2.9,great
136,Ben Simmons,2019-20,57.0,35.4,20.4,3.6,2.8,great
137,Jayson Tatum,2019-20,66.0,34.3,20.4,4.0,3.4,great
138,Nikola Vučević,2019-20,62.0,32.2,21.9,4.2,3.1,great
139,Kemba Walker,2019-20,56.0,31.1,20.0,4.6,2.9,great
140,Hassan Whiteside,2019-20,67.0,30.0,25.0,3.2,2.6,great
141,Trae Young,2019-20,60.0,35.3,23.9,3.9,3.1,great
142,Bam Adebayo,2020-21,64.0,33.5,22.7,4.9,3.7,great
143,Bradley Beal,2020-21,60.0,35.8,22.7,3.4,2.9,great
144,Clint Capela,2020-21,63.0,30.1,24.3,2.7,2.2,great
145,Mike Conley,2020-21,51.0,29.4,19.2,4.9,2.6,great
146,Anthony Davis,2020-21,36.0,32.3,22.1,4.8,2.0,great
147,DeMar DeRozan,2020-21,61.0,33.7,22.0,3.1,2.6,great
148,Kevin Durant,2020-21,35.0,33.1,26.4,7.2,2.7,great
149,Paul George,2020-21,54.0,33.7,20.5,4.2,2.9,great
150,Shai Gilgeous-Alexander,2020-21,35.0,33.7,21.6,4.1,1.8,great
151,Rudy Gobert,2020-21,71.0,30.8,23.5,4.9,3.8,great
152,Tobias Harris,2020-21,62.0,32.5,20.0,3.7,2.9,great
153,Jrue Holiday,2020-21,59.0,32.3,20.0,3.4,2.6,great
154,Kyrie Irving,2020-21,54.0,34.9,24.4,5.5,3.6,great
155,Zach LaVine,2020-21,58.0,35.1,21.5,4.0,3.1,great
156,CJ McCollum,2020-21,47.0,34.0,20.8,3.9,2.4,great
157,Donovan Mitchell,2020-21,53.0,33.4,21.3,4.3,2.8,great
158,Chris Paul,2020-21,70.0,31.4,21.4,4.6,3.6,great
159,Michael Porter Jr.,2020-21,61.0,31.3,20.6,3.1,2.5,great
160,Julius Randle,2020-21,71.0,37.6,19.7,3.8,3.9,great
161,Domantas Sabonis,2020-21,62.0,36.0,20.6,3.8,3.3,great
162,Jayson Tatum,2020-21,64.0,35.8,21.3,3.9,3.4,great
163,Karl-Anthony Towns,2020-21,50.0,33.8,23.1,4.5,2.8,great
164,Jonas Valančiūnas,2020-21,62.0,28.3,24.4,3.0,2.2,great
165,Nikola Vučević,2020-21,70.0,33.5,22.9,5.3,4.4,great
166,Russell Westbrook,2020-21,65.0,36.4,19.5,3.7,3.4,great
167,Robert Williams,2020-21,52.0,18.9,25.7,6.0,2.0,great
168,Trae Young,2020-21,63.0,33.7,23.0,3.7,3.0,great
169,Steven Adams,2016-17,80.0,29.9,16.5,-0.2,1.1,good
170,LaMarcus Aldridge,2016-17,72.0,32.4,18.6,0.8,1.7,good
171,Tony Allen,2016-17,71.0,27.0,13.3,-1.0,0.5,good
172,Kyle Anderson,2016-17,72.0,14.2,12.5,1.8,1.0,good
173,Ryan Anderson,2016-17,72.0,29.4,13.5,-0.4,0.9,good
174,Carmelo Anthony,2016-17,74.0,34.3,17.9,0.7,1.7,good
175,Trevor Ariza,2016-17,80.0,34.7,12.4,1.0,2.1,good
176,Harrison Barnes,2016-17,79.0,35.5,16.3,-0.8,0.8,good
177,Will Barton,2016-17,60.0,28.4,15.5,0.2,1.0,good
178,Nicolas Batum,2016-17,77.0,34.0,15.8,0.8,1.9,good
179,Patrick Beverley,2016-17,67.0,30.7,13.0,1.1,1.6,good
180,Devin Booker,2016-17,78.0,35.0,14.6,-1.9,0.1,good
181,Trevor Booker,2016-17,71.0,24.7,15.7,-0.6,0.6,good
182,Avery Bradley,2016-17,55.0,33.4,14.4,-0.6,0.7,good
183,Malcolm Brogdon,2016-17,75.0,26.4,14.9,-0.4,0.8,good
184,Kentavious Caldwell-Pope,2016-17,76.0,33.3,12.8,-0.2,1.1,good
185,Clint Capela,2016-17,65.0,23.9,21.4,1.2,1.2,good
186,DeMarre Carroll,2016-17,72.0,26.1,11.9,0.0,1.0,good
187,Vince Carter,2016-17,73.0,24.6,11.7,0.8,1.3,good
188,Tyson Chandler,2016-17,47.0,27.6,16.6,0.3,0.8,good
189,Wilson Chandler,2016-17,71.0,30.9,14.9,-1.0,0.5,good
190,Darren Collison,2016-17,68.0,30.3,15.3,-0.9,0.6,good
191,Robert Covington,2016-17,67.0,31.6,13.2,0.2,1.1,good
192,Jae Crowder,2016-17,72.0,32.4,14.9,0.9,1.7,good
193,Seth Curry,2016-17,70.0,29.0,15.5,1.2,1.7,good
194,Dewayne Dedmon,2016-17,76.0,17.5,16.0,0.6,0.9,good
195,Gorgui Dieng,2016-17,82.0,32.4,14.2,-0.1,1.3,good
196,Andre Drummond,2016-17,81.0,29.7,20.9,1.0,1.8,good
197,Wayne Ellington,2016-17,62.0,24.2,12.6,-0.1,0.7,good
198,Joel Embiid,2016-17,31.0,25.4,24.1,4.5,1.3,good
199,Kenneth Faried,2016-17,61.0,21.2,20.3,0.3,0.7,good
200,Derrick Favors,2016-17,50.0,23.7,15.8,-0.1,0.6,good
201,Evan Fournier,2016-17,68.0,32.9,13.9,-1.3,0.4,good
202,Enes Freedom,2016-17,72.0,21.3,23.7,1.7,1.4,good
203,Channing Frye,2016-17,74.0,18.9,15.6,1.0,1.1,good
204,Danilo Gallinari,2016-17,63.0,33.9,17.4,1.4,1.9,good
205,Pau Gasol,2016-17,64.0,25.4,20.2,4.0,2.5,good
206,Rudy Gay,2016-17,30.0,33.8,17.9,1.9,1.0,good
207,Manu Ginóbili,2016-17,69.0,18.7,13.9,1.4,1.1,good
208,Aaron Gordon,2016-17,80.0,28.7,14.5,-1.0,0.6,good
209,Eric Gordon,2016-17,75.0,31.0,13.2,-0.1,1.1,good
210,Marcin Gortat,2016-17,82.0,31.2,15.4,-0.8,0.8,good
211,Danny Green,2016-17,68.0,26.6,10.1,0.8,1.3,good
212,JaMychal Green,2016-17,77.0,27.3,13.5,-0.8,0.6,good
213,Tim Hardaway Jr.,2016-17,79.0,27.3,15.2,0.5,1.4,good
214,Maurice Harkless,2016-17,77.0,28.9,13.1,-0.6,0.8,good
215,Montrezl Harrell,2016-17,58.0,18.3,19.2,1.0,0.8,good
216,Gary Harris,2016-17,57.0,31.3,16.5,0.7,1.2,good
217,Tobias Harris,2016-17,82.0,31.3,16.9,1.6,2.3,good
218,Willy Hernangómez,2016-17,72.0,18.4,19.0,-0.3,0.6,good
219,Nenê,2016-17,67.0,17.9,18.9,0.8,0.8,good
220,George Hill,2016-17,49.0,31.5,19.3,3.8,2.3,good
221,Jrue Holiday,2016-17,67.0,32.7,17.1,1.3,1.8,good
222,Richaun Holmes,2016-17,57.0,20.9,18.6,1.0,0.9,good
223,Dwight Howard,2016-17,74.0,29.7,20.8,1.4,1.9,good
224,Serge Ibaka,2016-17,79.0,30.7,16.4,0.1,1.2,good
225,Andre Iguodala,2016-17,76.0,26.3,14.3,2.5,2.3,good
226,Ersan İlyasova,2016-17,82.0,26.1,14.6,0.1,1.1,good
227,Joe Ingles,2016-17,82.0,24.0,12.4,1.6,1.8,good
228,Reggie Jackson,2016-17,52.0,27.4,14.9,-1.0,0.4,good
229,Amir Johnson,2016-17,80.0,20.1,15.0,0.6,1.1,good
230,James Johnson,2016-17,76.0,27.4,17.0,2.8,2.5,good
231,Joe Johnson,2016-17,78.0,23.6,12.8,0.4,1.1,good
232,Tyler Johnson,2016-17,73.0,29.8,15.9,1.4,1.8,good
233,Terrence Jones,2016-17,54.0,23.5,16.1,-0.6,0.5,good
234,Michael Kidd-Gilchrist,2016-17,81.0,29.0,14.3,-0.7,0.7,good
235,Kyle Korver,2016-17,67.0,26.2,12.1,0.0,0.9,good
236,Jeremy Lamb,2016-17,62.0,18.4,17.0,0.5,0.7,good
237,Zach LaVine,2016-17,47.0,37.2,14.6,0.1,0.9,good
238,Ty Lawson,2016-17,69.0,25.1,15.4,-1.0,0.4,good
239,Courtney Lee,2016-17,77.0,31.9,12.2,-0.9,0.7,good
240,David Lee,2016-17,79.0,18.7,18.5,1.8,1.4,good
241,Jon Leuer,2016-17,75.0,25.9,14.2,-0.1,1.0,good
242,Jeremy Lin,2016-17,36.0,24.5,19.2,2.0,0.9,good
243,Brook Lopez,2016-17,75.0,29.6,20.4,2.3,2.4,good
244,Kevin Love,2016-17,60.0,31.4,21.1,2.1,1.9,good
245,Wesley Matthews,2016-17,73.0,34.2,11.9,-0.8,0.8,good
246,T.J. McConnell,2016-17,81.0,26.3,13.7,-1.0,0.5,good
247,JaVale McGee,2016-17,77.0,9.6,25.2,1.2,0.6,good
248,Khris Middleton,2016-17,29.0,30.7,15.0,-0.3,0.4,good
249,C.J. Miles,2016-17,76.0,23.4,13.8,0.5,1.1,good
250,Patty Mills,2016-17,80.0,21.9,15.2,1.6,1.6,good
251,Paul Millsap,2016-17,69.0,34.0,17.8,2.1,2.4,good
252,Nikola Mirotić,2016-17,70.0,24.0,14.5,0.7,1.1,good
253,Greg Monroe,2016-17,81.0,22.5,21.1,1.8,1.7,good
254,Marcus Morris,2016-17,79.0,32.5,12.4,-1.1,0.6,good
255,Markieff Morris,2016-17,76.0,31.2,13.7,-1.5,0.3,good
256,Mike Muscala,2016-17,70.0,17.7,14.4,1.1,1.0,good
257,Larry Nance Jr.,2016-17,63.0,22.9,15.7,0.6,1.0,good
258,Nerlens Noel,2016-17,51.0,20.5,20.4,2.4,1.2,good
259,Lucas Nogueira,2016-17,57.0,19.1,15.5,2.0,1.1,good
260,Dirk Nowitzki,2016-17,54.0,26.4,17.0,0.8,1.0,good
261,Jusuf Nurkić,2016-17,65.0,21.4,17.5,-0.9,0.4,good
262,Kyle O'Quinn,2016-17,79.0,15.6,20.5,1.9,1.2,good
263,Victor Oladipo,2016-17,67.0,33.2,13.6,-0.5,0.8,good
264,Kelly Olynyk,2016-17,75.0,20.5,15.3,0.3,0.9,good
265,Zaza Pachulia,2016-17,70.0,18.1,16.1,0.6,0.8,good
266,Jabari Parker,2016-17,51.0,33.9,19.1,0.7,1.2,good
267,Elfrid Payton,2016-17,82.0,29.4,17.2,0.8,1.7,good
268,Mason Plumlee,2016-17,81.0,26.5,18.1,2.0,2.2,good
269,Kristaps Porziņģis,2016-17,66.0,32.8,17.4,0.3,1.3,good
270,Dwight Powell,2016-17,77.0,17.3,17.6,1.0,1.0,good
271,Julius Randle,2016-17,74.0,28.8,16.3,-0.9,0.6,good
272,Zach Randolph,2016-17,73.0,24.5,18.5,-0.5,0.7,good
273,J.J. Redick,2016-17,78.0,28.2,14.8,0.4,1.4,good
274,Rajon Rondo,2016-17,69.0,26.7,13.6,-0.5,0.7,good
275,Derrick Rose,2016-17,64.0,32.5,17.0,-1.0,0.5,good
276,Terrence Ross,2016-17,78.0,25.1,13.4,-0.2,0.9,good
277,Ricky Rubio,2016-17,75.0,32.9,16.8,0.9,1.8,good
278,D'Angelo Russell,2016-17,63.0,28.7,15.3,-0.8,0.6,good
279,Dennis Schröder,2016-17,79.0,31.5,16.1,0.0,1.3,good
280,Thabo Sefolosha,2016-17,62.0,25.7,11.9,0.4,1.0,good
281,Ish Smith,2016-17,81.0,24.1,14.7,0.3,1.1,good
282,Marreese Speights,2016-17,82.0,15.7,17.5,0.6,0.9,good
283,Jeff Teague,2016-17,82.0,32.4,19.2,2.2,2.8,good
284,Klay Thompson,2016-17,78.0,34.0,17.4,0.8,1.9,good
285,Tristan Thompson,2016-17,78.0,29.9,15.3,-0.7,0.7,good
286,P.J. Tucker,2016-17,81.0,27.6,10.5,-0.3,1.0,good
287,Myles Turner,2016-17,81.0,31.4,18.5,1.1,2.0,good
288,Jonas Valančiūnas,2016-17,80.0,25.8,20.1,0.3,1.2,good
289,Nikola Vučević,2016-17,75.0,28.8,19.1,1.4,1.9,good
290,Dwyane Wade,2016-17,60.0,29.9,18.5,2.5,2.1,good
291,Dion Waiters,2016-17,46.0,30.1,14.5,-0.1,0.7,good
292,T.J. Warren,2016-17,66.0,31.0,15.6,-0.6,0.7,good
293,David West,2016-17,68.0,12.6,16.6,2.8,1.0,good
294,Hassan Whiteside,2016-17,77.0,32.6,22.6,1.5,2.2,good
295,Andrew Wiggins,2016-17,82.0,37.2,16.5,-1.7,0.2,good
296,Marvin Williams,2016-17,76.0,30.2,13.7,0.0,1.1,good
297,Nick Young,2016-17,60.0,25.9,14.1,-0.1,0.7,good
298,Thaddeus Young,2016-17,74.0,30.2,14.9,0.5,1.4,good
299,Cody Zeller,2016-17,62.0,27.8,16.7,0.2,1.0,good
300,Steven Adams,2017-18,76.0,32.7,20.6,1.1,2.0,good
301,Bam Adebayo,2017-18,69.0,19.8,15.7,-0.4,0.6,good
302,Jarrett Allen,2017-18,72.0,20.0,17.5,-0.8,0.5,good
303,Al-Farouq Aminu,2017-18,69.0,30.0,12.0,0.4,1.3,good
304,Kyle Anderson,2017-18,74.0,26.7,15.9,2.9,2.4,good
305,Ryan Anderson,2017-18,66.0,26.1,12.6,0.1,0.9,good
306,Trevor Ariza,2017-18,67.0,33.9,11.8,0.7,1.5,good
307,D.J. Augustin,2017-18,75.0,23.5,15.4,-0.2,0.8,good
308,Lonzo Ball,2017-18,52.0,34.2,12.5,1.0,1.3,good
309,J.J. Barea,2017-18,69.0,23.2,17.8,1.2,1.3,good
310,Harrison Barnes,2017-18,77.0,34.2,15.8,-0.5,1.0,good
311,Will Barton,2017-18,81.0,33.1,16.2,1.1,2.1,good
312,Nicolas Batum,2017-18,64.0,31.0,14.4,0.4,1.2,good
313,Kent Bazemore,2017-18,65.0,27.5,14.5,0.6,1.2,good
314,Michael Beasley,2017-18,74.0,22.3,17.8,-0.2,0.7,good
315,Marco Belinelli,2017-18,80.0,24.3,14.1,-0.5,0.8,good
316,Jordan Bell,2017-18,57.0,14.2,18.0,2.8,1.0,good
317,Dāvis Bertāns,2017-18,77.0,14.1,14.1,1.6,1.0,good
318,Eric Bledsoe,2017-18,74.0,31.4,19.7,2.5,2.6,good
319,Bojan Bogdanović,2017-18,80.0,30.8,13.9,-0.7,0.8,good
320,Devin Booker,2017-18,54.0,34.5,18.1,0.9,1.4,good
321,Malcolm Brogdon,2017-18,48.0,29.9,14.3,-1.2,0.3,good
322,Jaylen Brown,2017-18,70.0,30.7,13.6,-0.5,0.8,good
323,Reggie Bullock,2017-18,62.0,27.9,13.6,0.7,1.2,good
324,Trey Burke,2017-18,36.0,21.8,21.0,2.5,0.9,good
325,Kentavious Caldwell-Pope,2017-18,74.0,33.2,13.2,0.3,1.4,good
326,DeMarre Carroll,2017-18,73.0,29.9,14.3,0.2,1.2,good
327,Willie Cauley-Stein,2017-18,73.0,28.0,17.6,-0.1,1.0,good
328,Jordan Clarkson,2017-18,81.0,23.3,16.4,0.1,1.0,good
329,John Collins,2017-18,74.0,24.1,18.3,-0.2,0.8,good
330,Darren Collison,2017-18,69.0,29.2,18.8,2.7,2.4,good
331,Robert Covington,2017-18,80.0,31.7,12.9,1.5,2.3,good
332,Allen Crabbe,2017-18,75.0,29.3,12.3,-0.7,0.7,good
333,Dewayne Dedmon,2017-18,62.0,24.9,15.8,0.1,0.8,good
334,Spencer Dinwiddie,2017-18,80.0,28.8,15.9,0.6,1.5,good
335,Goran Dragić,2017-18,75.0,31.7,16.6,0.3,1.4,good
336,Kris Dunn,2017-18,52.0,29.3,14.5,-1.3,0.3,good
337,Wayne Ellington,2017-18,77.0,26.5,12.5,0.4,1.2,good
338,Derrick Favors,2017-18,77.0,28.0,18.8,1.5,1.9,good
339,Evan Fournier,2017-18,57.0,32.2,15.5,-0.6,0.7,good
340,Enes Freedom,2017-18,71.0,25.8,24.0,2.2,1.9,good
341,Marc Gasol,2017-18,73.0,33.0,17.4,2.3,2.7,good
342,Pau Gasol,2017-18,77.0,23.5,18.9,3.4,2.5,good
343,Rudy Gay,2017-18,57.0,21.6,18.0,0.8,0.9,good
344,Taj Gibson,2017-18,82.0,33.2,15.4,-0.5,1.0,good
345,Aaron Gordon,2017-18,58.0,32.9,16.5,0.3,1.1,good
346,Eric Gordon,2017-18,69.0,31.2,15.2,0.4,1.3,good
347,Marcin Gortat,2017-18,82.0,25.3,14.7,-0.6,0.8,good
348,Jerami Grant,2017-18,81.0,20.3,16.2,0.3,1.0,good
349,Danny Green,2017-18,70.0,25.6,11.4,0.4,1.1,good
350,Draymond Green,2017-18,70.0,32.7,16.1,2.8,2.8,good
351,Tim Hardaway Jr.,2017-18,57.0,33.1,14.4,-0.6,0.7,good
352,Maurice Harkless,2017-18,59.0,21.4,12.6,1.4,1.1,good
353,Montrezl Harrell,2017-18,76.0,17.0,24.7,3.3,1.7,good
354,Gary Harris,2017-18,67.0,34.4,16.5,0.8,1.7,good
355,Joe Harris,2017-18,78.0,25.3,13.3,0.1,1.0,good
356,Tobias Harris,2017-18,80.0,33.4,17.1,1.9,2.6,good
357,John Henson,2017-18,76.0,25.9,15.7,-0.9,0.5,good
358,Buddy Hield,2017-18,80.0,25.3,16.1,1.0,1.5,good
359,George Hill,2017-18,67.0,27.0,13.3,-0.8,0.6,good
360,Jrue Holiday,2017-18,81.0,36.1,17.8,1.6,2.7,good
361,Rondae Hollis-Jefferson,2017-18,68.0,28.2,16.9,0.1,1.0,good
362,Rodney Hood,2017-18,60.0,26.9,14.3,-0.1,0.8,good
363,Dwight Howard,2017-18,81.0,30.4,20.5,-0.1,1.2,good
364,Serge Ibaka,2017-18,76.0,27.5,14.7,-0.1,1.0,good
365,Ersan İlyasova,2017-18,69.0,25.1,14.9,-0.6,0.6,good
366,Joe Ingles,2017-18,82.0,31.4,14.4,2.3,2.8,good
367,Brandon Ingram,2017-18,59.0,33.5,13.8,-1.2,0.4,good
368,Reggie Jackson,2017-18,45.0,26.7,15.9,-0.4,0.5,good
369,Amir Johnson,2017-18,74.0,15.8,14.9,1.0,0.9,good
370,James Johnson,2017-18,73.0,26.6,15.8,1.6,1.7,good
371,Tyler Johnson,2017-18,72.0,28.5,13.0,-0.3,0.9,good
372,Tyus Jones,2017-18,82.0,17.9,14.1,0.8,1.1,good
373,DeAndre Jordan,2017-18,77.0,31.5,20.2,1.4,2.1,good
374,Frank Kaminsky,2017-18,79.0,23.2,14.4,-0.2,0.8,good
375,Kyle Korver,2017-18,73.0,21.6,13.4,0.2,0.9,good
376,Kosta Koufos,2017-18,71.0,19.6,17.5,-0.4,0.6,good
377,Kyle Kuzma,2017-18,77.0,31.2,14.2,-0.7,0.8,good
378,Jeremy Lamb,2017-18,80.0,24.6,17.0,1.6,1.8,good
379,Courtney Lee,2017-18,76.0,30.4,13.0,-0.3,1.0,good
380,Alex Len,2017-18,69.0,20.2,19.4,0.3,0.8,good
381,Caris LeVert,2017-18,71.0,26.3,14.2,-0.8,0.6,good
382,Brook Lopez,2017-18,74.0,23.4,16.5,0.9,1.3,good
383,Trey Lyles,2017-18,73.0,19.1,17.9,1.3,1.1,good
384,Lauri Markkanen,2017-18,68.0,29.7,15.6,-0.2,0.9,good
385,Wesley Matthews,2017-18,63.0,33.8,11.4,-0.9,0.6,good
386,CJ McCollum,2017-18,81.0,36.1,17.0,1.2,2.4,good
387,T.J. McConnell,2017-18,76.0,22.4,12.5,0.0,0.9,good
388,Khris Middleton,2017-18,82.0,36.4,17.4,0.0,1.5,good
389,Paul Millsap,2017-18,38.0,30.1,17.0,0.4,0.7,good
390,Nikola Mirotić,2017-18,55.0,27.2,18.7,2.2,1.6,good
391,Donovan Mitchell,2017-18,79.0,33.4,16.7,1.2,2.2,good
392,Greg Monroe,2017-18,51.0,20.4,21.2,2.2,1.1,good
393,Marcus Morris,2017-18,54.0,26.7,14.5,-0.1,0.7,good
394,Dejounte Murray,2017-18,81.0,21.5,15.1,0.5,1.1,good
395,Jamal Murray,2017-18,81.0,31.7,16.1,-0.3,1.1,good
396,Mike Muscala,2017-18,53.0,20.0,14.4,0.3,0.6,good
397,Larry Nance Jr.,2017-18,66.0,21.5,20.2,2.4,1.6,good
398,Shabazz Napier,2017-18,74.0,20.7,14.2,0.7,1.0,good
399,Dirk Nowitzki,2017-18,77.0,24.7,16.7,2.3,2.1,good
400,Jusuf Nurkić,2017-18,79.0,26.4,19.2,0.0,1.1,good
401,Kyle O'Quinn,2017-18,77.0,18.0,20.0,3.1,1.8,good
402,Kelly Olynyk,2017-18,76.0,23.4,17.8,2.3,1.9,good
403,Elfrid Payton,2017-18,63.0,28.7,16.5,-0.2,0.8,good
404,Mason Plumlee,2017-18,74.0,19.4,16.9,0.5,0.9,good
405,Jakob Poeltl,2017-18,82.0,18.6,17.5,0.4,0.9,good
406,Bobby Portis,2017-18,73.0,22.5,19.7,0.8,1.2,good
407,Kristaps Porziņģis,2017-18,48.0,32.4,20.4,1.8,1.5,good
